="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2003 # dogu",="-0.038",="0.017",="-0.000",="-1443.201",="1.039",="-0.000",="-6.096"
="",="(0.12)",="(0.22)",="(0.01)",="(8794.33)",="(1.19)",="(0.00)",="(6.45)"
="year=2003 # ege",="-0.004",="-0.008",="0.002",="-907.607",="1.280",="0.001",="8.743"
="",="(0.14)",="(0.25)",="(0.01)",="(10044.87)",="(1.36)",="(0.00)",="(7.36)"
="year=2003 # guneydogu",="-0.092",="0.049",="0.001",="-45.819",="-0.136",="-0.000",="0.763"
="",="(0.14)",="(0.25)",="(0.01)",="(10043.73)",="(1.36)",="(0.00)",="(7.36)"
="year=2003 # icanadolu",="0.002",="0.052",="0.002",="-1345.507",="0.387",="-0.001",="1.262"
="",="(0.13)",="(0.22)",="(0.01)",="(9027.01)",="(1.23)",="(0.00)",="(6.62)"
="year=2003 # karadeniz",="-0.009",="0.124",="0.004",="48.072",="-1.018",="-0.001",="-4.469"
="",="(0.12)",="(0.21)",="(0.01)",="(8536.97)",="(1.16)",="(0.00)",="(6.26)"
="year=2003 # marmara",="0.005",="0.020",="-0.001",="101.342",="-0.079",="-0.001",="2.716"
="",="(0.13)",="(0.23)",="(0.01)",="(9333.91)",="(1.27)",="(0.00)",="(6.84)"
="year=2004 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2004 # dogu",="0.068",="0.110",="0.001",="-2574.794",="1.453",="0.000",="-4.492"
="",="(0.12)",="(0.22)",="(0.01)",="(8797.80)",="(1.20)",="(0.00)",="(6.45)"
="year=2004 # ege",="0.036",="0.033",="0.003",="-903.664",="3.619**",="0.003*",="23.571**"
="",="(0.14)",="(0.25)",="(0.01)",="(10051.25)",="(1.37)",="(0.00)",="(7.37)"
="year=2004 # guneydogu",="-0.002",="0.101",="-0.003",="-1799.050",="0.649",="0.001",="1.158"
="",="(0.14)",="(0.25)",="(0.01)",="(10045.61)",="(1.36)",="(0.00)",="(7.36)"
="year=2004 # icanadolu",="0.065",="-0.023",="-0.004",="-5716.276",="1.258",="-0.000",="1.351"
="",="(0.13)",="(0.22)",="(0.01)",="(9027.71)",="(1.23)",="(0.00)",="(6.62)"
="year=2004 # karadeniz",="0.066",="0.147",="0.002",="-1084.645",="0.776",="0.000",="-0.036"
="",="(0.12)",="(0.21)",="(0.01)",="(8540.04)",="(1.16)",="(0.00)",="(6.26)"
="year=2004 # marmara",="0.058",="0.082",="-0.004",="-6062.018",="1.017",="0.000",="3.669"
="",="(0.13)",="(0.23)",="(0.01)",="(9336.03)",="(1.27)",="(0.00)",="(6.84)"
="year=2005 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2005 # dogu",="-0.200",="-0.008",="-0.008",="-4892.861",="1.673",="0.000",="-8.021"
="",="(0.13)",="(0.22)",="(0.01)",="(8795.72)",="(1.19)",="(0.00)",="(6.45)"
="year=2005 # ege",="0.025",="-0.012",="0.001",="251.522",="1.156",="0.001",="0.537"
="",="(0.14)",="(0.25)",="(0.01)",="(10057.03)",="(1.37)",="(0.00)",="(7.37)"
="year=2005 # guneydogu",="-0.316*",="-0.031",="-0.007",="-4336.201",="0.970",="0.001",="0.923"
="",="(0.14)",="(0.25)",="(0.01)",="(10050.13)",="(1.37)",="(0.00)",="(7.37)"
="year=2005 # icanadolu",="-0.187",="-0.073",="-0.003",="-6080.801",="0.858",="-0.000",="-6.035"
="",="(0.13)",="(0.22)",="(0.01)",="(9027.50)",="(1.23)",="(0.00)",="(6.62)"
="year=2005 # karadeniz",="-0.094",="0.080",="-0.000",="-2042.451",="1.083",="0.000",="-4.046"
="",="(0.12)",="(0.21)",="(0.01)",="(8537.40)",="(1.16)",="(0.00)",="(6.26)"
="year=2005 # marmara",="-0.138",="0.071",="-0.005",="-6593.616",="1.647",="0.000",="1.707"
="",="(0.13)",="(0.23)",="(0.01)",="(9336.96)",="(1.27)",="(0.00)",="(6.84)"
="year=2006 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2006 # dogu",="-0.182",="0.060",="-0.006",="-5722.108",="2.027",="0.001",="-7.113"
="",="(0.12)",="(0.22)",="(0.01)",="(8796.26)",="(1.20)",="(0.00)",="(6.45)"
="year=2006 # ege",="0.002",="0.049",="0.007",="5501.587",="1.666",="0.000",="-2.115"
="",="(0.14)",="(0.25)",="(0.01)",="(10052.10)",="(1.37)",="(0.00)",="(7.37)"
="year=2006 # guneydogu",="-0.285*",="0.056",="-0.003",="-3339.506",="0.391",="0.000",="-2.700"
="",="(0.14)",="(0.25)",="(0.01)",="(10047.15)",="(1.37)",="(0.00)",="(7.37)"
="year=2006 # icanadolu",="-0.156",="-0.003",="0.002",="-3122.257",="0.721",="-0.000",="-5.744"
="",="(0.13)",="(0.22)",="(0.01)",="(9032.53)",="(1.23)",="(0.00)",="(6.62)"
="year=2006 # karadeniz",="-0.096",="0.015",="-0.002",="-3531.321",="1.320",="0.000",="-3.845"
="",="(0.12)",="(0.21)",="(0.01)",="(8537.63)",="(1.16)",="(0.00)",="(6.26)"
="year=2006 # marmara",="-0.132",="0.271",="0.005",="2897.927",="0.668",="-0.000",="-3.033"
="",="(0.13)",="(0.23)",="(0.01)",="(9335.81)",="(1.27)",="(0.00)",="(6.84)"
="year=2007 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2007 # dogu",="-0.133",="0.173",="-0.005",="-8007.854",="1.843",="0.001",="-8.110"
="",="(0.13)",="(0.22)",="(0.01)",="(8803.15)",="(1.20)",="(0.00)",="(6.45)"
="year=2007 # ege",="-0.008",="-0.115",="-0.003",="524.495",="-0.808",="-0.001",="-13.430"
="",="(0.14)",="(0.25)",="(0.01)",="(10050.08)",="(1.37)",="(0.00)",="(7.36)"
="year=2007 # guneydogu",="-0.197",="0.143",="-0.003",="-6954.365",="0.559",="0.001",="-3.845"
="",="(0.14)",="(0.25)",="(0.01)",="(10065.69)",="(1.37)",="(0.00)",="(7.38)"
="year=2007 # icanadolu",="-0.149",="-0.066",="-0.003",="-6745.200",="1.020",="-0.000",="-4.670"
="",="(0.13)",="(0.22)",="(0.01)",="(9033.73)",="(1.23)",="(0.00)",="(6.62)"
="year=2007 # karadeniz",="-0.068",="0.020",="-0.002",="-6474.371",="0.516",="0.000",="-6.367"
="",="(0.12)",="(0.21)",="(0.01)",="(8536.44)",="(1.16)",="(0.00)",="(6.26)"
="year=2007 # marmara",="-0.149",="0.165",="-0.002",="-1685.704",="-0.047",="-0.001",="-6.200"
="",="(0.13)",="(0.23)",="(0.01)",="(9337.13)",="(1.27)",="(0.00)",="(6.84)"
="year=2008 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2008 # dogu",="-0.119",="0.154",="-0.007",="-11176.548",="0.778",="-0.000",="-9.561"
="",="(0.13)",="(0.22)",="(0.01)",="(8806.80)",="(1.20)",="(0.00)",="(6.45)"
="year=2008 # ege",="0.017",="-0.062",="-0.002",="-2854.017",="0.010",="-0.001",="-10.474"
="",="(0.14)",="(0.25)",="(0.01)",="(10047.71)",="(1.37)",="(0.00)",="(7.36)"
="year=2008 # guneydogu",="-0.237",="0.044",="-0.007",="-10053.864",="1.184",="0.002",="2.814"
="",="(0.14)",="(0.25)",="(0.01)",="(10066.15)",="(1.37)",="(0.00)",="(7.38)"
="year=2008 # icanadolu",="-0.151",="-0.088",="-0.001",="-7817.079",="1.775",="0.001",="-0.377"
="",="(0.13)",="(0.22)",="(0.01)",="(9034.83)",="(1.23)",="(0.00)",="(6.62)"
="year=2008 # karadeniz",="-0.063",="0.012",="-0.002",="-8123.309",="1.363",="0.001",="-2.556"
="",="(0.12)",="(0.21)",="(0.01)",="(8541.05)",="(1.16)",="(0.00)",="(6.26)"
="year=2008 # marmara",="-0.092",="0.269",="0.003",="756.202",="1.243",="-0.000",="3.791"
="",="(0.13)",="(0.23)",="(0.01)",="(9339.28)",="(1.27)",="(0.00)",="(6.85)"
="year=2009 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2009 # dogu",="-0.081",="0.093",="-0.011",="-14230.565",="1.829",="0.001",="-7.885"
="",="(0.13)",="(0.22)",="(0.01)",="(8824.69)",="(1.20)",="(0.00)",="(6.47)"
="year=2009 # ege",="0.016",="0.001",="-0.002",="-1783.007",="0.688",="0.000",="-5.405"
="",="(0.14)",="(0.25)",="(0.01)",="(10046.50)",="(1.36)",="(0.00)",="(7.36)"
="year=2009 # guneydogu",="-0.201",="0.068",="-0.011",="-13826.754",="1.721",="0.003*",="5.527"
