="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="year=2004 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2004 # dogu",="0.058",="0.057",="-0.000",="-0.000",="0.002",="0.001"
="",="(0.12)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2004 # ege",="0.020",="0.023",="0.003*",="0.003*",="0.003",="0.003"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2004 # guneydogu",="-0.005",="-0.007",="0.001",="0.001",="-0.003",="-0.003"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2004 # icanadolu",="0.055",="0.055",="-0.000",="-0.000",="-0.004",="-0.004"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2004 # karadeniz",="0.057",="0.057",="0.000",="0.000",="0.003",="0.002"
="",="(0.12)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2004 # marmara",="0.042",="0.043",="0.000",="0.000",="-0.003",="-0.004"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2005 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2005 # dogu",="-0.192",="-0.195",="0.000",="0.000",="-0.008",="-0.008"
="",="(0.12)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2005 # ege",="0.014",="0.019",="0.001",="0.001",="0.001",="0.001"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2005 # guneydogu",="-0.298*",="-0.303*",="0.001",="0.001",="-0.008",="-0.008"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2005 # icanadolu",="-0.194",="-0.194",="-0.000",="-0.000",="-0.003",="-0.003"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2005 # karadeniz",="-0.095",="-0.095",="0.000",="0.000",="-0.000",="-0.000"
="",="(0.12)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2005 # marmara",="-0.149",="-0.146",="-0.000",="-0.000",="-0.004",="-0.005"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2006 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2006 # dogu",="-0.184",="-0.187",="0.001",="0.001",="-0.006",="-0.006"
="",="(0.12)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2006 # ege",="-0.005",="-0.001",="0.000",="0.000",="0.007",="0.007"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2006 # guneydogu",="-0.280",="-0.284*",="0.001",="0.000",="-0.003",="-0.003"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2006 # icanadolu",="-0.175",="-0.176",="-0.001",="-0.001",="0.003",="0.003"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2006 # karadeniz",="-0.096",="-0.096",="0.000",="0.000",="-0.002",="-0.002"
="",="(0.12)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2006 # marmara",="-0.143",="-0.140",="-0.001",="-0.001",="0.005",="0.005"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2007 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2007 # dogu",="-0.151",="-0.154",="0.001",="0.001",="-0.004",="-0.004"
="",="(0.12)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2007 # ege",="0.007",="0.009",="-0.001",="-0.001",="-0.004",="-0.004"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2007 # guneydogu",="-0.221",="-0.227",="0.001",="0.001",="-0.001",="-0.002"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2007 # icanadolu",="-0.173",="-0.174",="-0.000",="-0.000",="-0.002",="-0.002"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2007 # karadeniz",="-0.069",="-0.070",="0.000",="0.000",="-0.002",="-0.002"
="",="(0.12)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2007 # marmara",="-0.142",="-0.140",="-0.001",="-0.001",="-0.003",="-0.003"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2008 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2008 # dogu",="-0.141",="-0.144",="-0.000",="-0.000",="-0.006",="-0.006"
="",="(0.12)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2008 # ege",="0.006",="0.009",="-0.001",="-0.001",="-0.002",="-0.002"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2008 # guneydogu",="-0.258",="-0.265",="0.002",="0.002",="-0.006",="-0.007"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2008 # icanadolu",="-0.175",="-0.175",="0.000",="0.000",="0.000",="-0.000"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2008 # karadeniz",="-0.072",="-0.071",="0.001",="0.001",="-0.002",="-0.002"
="",="(0.12)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2008 # marmara",="-0.111",="-0.108",="-0.000",="-0.000",="0.003",="0.003"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2009 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2009 # dogu",="-0.118",="-0.121",="0.001",="0.001",="-0.009",="-0.010"
="",="(0.13)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2009 # ege",="0.008",="0.011",="-0.000",="0.000",="-0.002",="-0.002"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2009 # guneydogu",="-0.241",="-0.249",="0.002",="0.002",="-0.009",="-0.010"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2009 # icanadolu",="-0.137",="-0.137",="0.000",="0.000",="0.003",="0.002"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2009 # karadeniz",="-0.011",="-0.012",="0.001",="0.001",="-0.003",="-0.004"
="",="(0.12)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2009 # marmara",="-0.109",="-0.107",="-0.000",="-0.000",="-0.002",="-0.003"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2010 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2010 # dogu",="-0.039",="-0.043",="0.000",="0.000",="-0.010",="-0.011"
="",="(0.13)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2010 # ege",="-0.030",="-0.026",="0.000",="0.000",="-0.006",="-0.006"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2010 # guneydogu",="-0.181",="-0.189",="0.002",="0.002",="-0.011",="-0.012"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2010 # icanadolu",="-0.104",="-0.105",="0.000",="0.000",="0.004",="0.003"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2010 # karadeniz",="0.030",="0.029",="-0.000",="-0.000",="-0.004",="-0.005"
="",="(0.12)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2010 # marmara",="-0.128",="-0.129",="0.000",="0.000",="-0.003",="-0.003"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2011 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2011 # dogu",="0.012",="0.007",="0.002",="0.002",="-0.008",="-0.009"
="",="(0.13)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2011 # ege",="-0.064",="-0.060",="-0.000",="-0.000",="-0.002",="-0.002"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2011 # guneydogu",="-0.156",="-0.165",="0.001",="0.001",="-0.011",="-0.013"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2011 # icanadolu",="-0.130",="-0.131",="0.000",="0.000",="0.006",="0.005"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2011 # karadeniz",="-0.013",="-0.013",="-0.000",="-0.000",="-0.004",="-0.004"
="",="(0.12)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2011 # marmara",="-0.189",="-0.188",="-0.000",="-0.000",="-0.002",="-0.002"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2012 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2012 # dogu",="0.020",="0.016",="0.001",="0.001",="-0.013",="-0.014"
="",="(0.13)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2012 # ege",="-0.030",="-0.026",="-0.000",="-0.000",="-0.007",="-0.007"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2012 # guneydogu",="-0.142",="-0.150",="0.001",="0.001",="-0.013",="-0.015"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2012 # icanadolu",="-0.129",="-0.128",="-0.000",="-0.000",="-0.002",="-0.003"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2012 # karadeniz",="0.003",="0.003",="-0.001",="-0.001",="-0.009",="-0.010"
="",="(0.12)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2012 # marmara",="-0.145",="-0.144",="-0.001",="-0.001",="-0.001",="-0.002"
