="",="(1)",="(2)",="(3)",="(4)"
="",="(0.12)",="(0.00)",="(0.01)",="(8390.40)"
="year=2015 # marmara",="-0.107",="-0.001",="-0.004",="-5644.489"
="",="(0.13)",="(0.00)",="(0.01)",="(9155.28)"
="year=2016 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2016 # dogu",="0.024",="0.001",="-0.021*",="-24935.560**"
="",="(0.13)",="(0.00)",="(0.01)",="(8684.81)"
="year=2016 # ege",="-0.019",="-0.000",="-0.012",="-9273.552"
="",="(0.14)",="(0.00)",="(0.01)",="(9817.87)"
="year=2016 # guneydogu",="-0.040",="0.002",="-0.011",="-23369.317*"
="",="(0.14)",="(0.00)",="(0.01)",="(9911.57)"
="year=2016 # icanadolu",="-0.126",="-0.000",="-0.007",="-15575.510"
="",="(0.13)",="(0.00)",="(0.01)",="(8885.27)"
="year=2016 # karadeniz",="0.047",="-0.000",="-0.011",="-22090.957**"
="",="(0.12)",="(0.00)",="(0.01)",="(8403.60)"
="year=2016 # marmara",="-0.133",="-0.000",="-0.006",="-9909.113"
="",="(0.13)",="(0.00)",="(0.01)",="(9142.31)"
="year=2017 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2017 # dogu",="0.062",="-0.000",="-0.009",="-16613.555"
="",="(0.13)",="(0.00)",="(0.01)",="(8690.38)"
="year=2017 # ege",="-0.008",="-0.001",="-0.007",="-8020.032"
="",="(0.14)",="(0.00)",="(0.01)",="(9819.82)"
="year=2017 # guneydogu",="-0.021",="0.001",="-0.012",="-22123.310*"
="",="(0.14)",="(0.00)",="(0.01)",="(9931.83)"
="year=2017 # icanadolu",="-0.098",="-0.001",="-0.005",="-11971.001"
="",="(0.13)",="(0.00)",="(0.01)",="(8888.97)"
="year=2017 # karadeniz",="0.034",="-0.001",="-0.006",="-14747.389"
="",="(0.12)",="(0.00)",="(0.01)",="(8418.97)"
="year=2017 # marmara",="-0.121",="-0.001",="-0.001",="-9367.266"
="",="(0.13)",="(0.00)",="(0.01)",="(9148.62)"
="year=2018 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2018 # dogu",="0.172",="-0.000",="-0.006",="-16422.441"
="",="(0.13)",="(0.00)",="(0.01)",="(8727.56)"
="year=2018 # ege",="0.013",="-0.001",="-0.007",="-11083.149"
="",="(0.14)",="(0.00)",="(0.01)",="(9818.74)"
="year=2018 # guneydogu",="0.010",="0.001",="-0.004",="-21015.776*"
="",="(0.14)",="(0.00)",="(0.01)",="(9960.84)"
="year=2018 # icanadolu",="-0.031",="-0.001",="-0.002",="-12255.398"
="",="(0.13)",="(0.00)",="(0.01)",="(8898.98)"
="year=2018 # karadeniz",="0.096",="-0.000",="0.001",="-12547.470"
="",="(0.12)",="(0.00)",="(0.01)",="(8440.16)"
="year=2018 # marmara",="-0.128",="-0.001",="-0.000",="-9684.733"
="",="(0.13)",="(0.00)",="(0.01)",="(9144.21)"
="year=2019 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2019 # dogu",="0.128",="-0.001",="-0.012",="-22077.294*"
="",="(0.13)",="(0.00)",="(0.01)",="(8711.84)"
="year=2019 # ege",="-0.033",="-0.001",="-0.012",="-10245.984"
="",="(0.14)",="(0.00)",="(0.01)",="(9823.92)"
="year=2019 # guneydogu",="0.048",="0.000",="-0.008",="-26701.695**"
="",="(0.15)",="(0.00)",="(0.01)",="(10013.18)"
="year=2019 # icanadolu",="-0.029",="-0.000",="-0.009",="-17843.582*"
="",="(0.13)",="(0.00)",="(0.01)",="(8901.72)"
="year=2019 # karadeniz",="0.053",="-0.001",="-0.005",="-17582.916*"
="",="(0.12)",="(0.00)",="(0.01)",="(8426.92)"
="year=2019 # marmara",="-0.054",="-0.001",="-0.001",="-12462.537"
="",="(0.13)",="(0.00)",="(0.01)",="(9169.20)"
="constant",="7.833***",="0.001",="0.030***",="-22862.199***"
="",="(0.07)",="(0.00)",="(0.01)",="(5115.52)"
="R-sqr",="0.894",="0.274",="0.707",="0.983"
="dfres",="1398",="1396",="1324",="1324"
="BIC",="322.9",="-14373.6",="-7237.3",="32785.1"
="* p<0.05, ** p<0.01, *** p<0.001"
