="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="(0.13)",="(0.13)",="(8768.95)",="(8768.95)",="(0.01)",="(0.01)"
="year=2012 # karadeniz",="0.008",="0.006",="-18552.838*",="-18552.838*",="-0.010",="-0.010"
="",="(0.12)",="(0.12)",="(8299.56)",="(8299.56)",="(0.01)",="(0.01)"
="year=2012 # marmara",="-0.140",="-0.141",="-7902.924",="-7902.924",="-0.002",="-0.002"
="",="(0.13)",="(0.13)",="(9065.20)",="(9065.20)",="(0.01)",="(0.01)"
="year=2013 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2013 # dogu",="0.028",="0.025",="-18361.725*",="-18361.725*",="-0.012",="-0.012"
="",="(0.13)",="(0.13)",="(8544.59)",="(8544.59)",="(0.01)",="(0.01)"
="year=2013 # ege",="-0.009",="-0.008",="-7203.640",="-7203.640",="-0.007",="-0.007"
="",="(0.14)",="(0.14)",="(9746.91)",="(9746.91)",="(0.01)",="(0.01)"
="year=2013 # guneydogu",="-0.092",="-0.098",="-16381.946",="-16381.946",="-0.007",="-0.007"
="",="(0.14)",="(0.14)",="(9778.39)",="(9778.39)",="(0.01)",="(0.01)"
="year=2013 # icanadolu",="-0.121",="-0.122",="-10063.473",="-10063.473",="-0.001",="-0.001"
="",="(0.13)",="(0.13)",="(8770.60)",="(8770.60)",="(0.01)",="(0.01)"
="year=2013 # karadeniz",="0.002",="0.002",="-18570.980*",="-18570.980*",="-0.011",="-0.011"
="",="(0.12)",="(0.12)",="(8296.08)",="(8296.08)",="(0.01)",="(0.01)"
="year=2013 # marmara",="-0.086",="-0.088",="-6025.845",="-6025.845",="-0.003",="-0.003"
="",="(0.13)",="(0.13)",="(9077.14)",="(9077.14)",="(0.01)",="(0.01)"
="year=2014 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2014 # dogu",="0.032",="0.030",="-21625.331*",="-21625.331*",="-0.012",="-0.012"
="",="(0.13)",="(0.13)",="(8546.41)",="(8546.41)",="(0.01)",="(0.01)"
="year=2014 # ege",="0.009",="0.010",="-9692.500",="-9692.500",="-0.007",="-0.007"
="",="(0.14)",="(0.14)",="(9748.55)",="(9748.55)",="(0.01)",="(0.01)"
="year=2014 # guneydogu",="-0.025",="-0.033",="-17204.716",="-17204.716",="-0.004",="-0.004"
="",="(0.14)",="(0.14)",="(9785.50)",="(9785.50)",="(0.01)",="(0.01)"
="year=2014 # icanadolu",="-0.109",="-0.109",="-13803.567",="-13803.567",="-0.006",="-0.006"
="",="(0.13)",="(0.13)",="(8771.58)",="(8771.58)",="(0.01)",="(0.01)"
="year=2014 # karadeniz",="0.038",="0.037",="-22291.074**",="-22291.074**",="-0.009",="-0.009"
="",="(0.12)",="(0.12)",="(8302.87)",="(8302.87)",="(0.01)",="(0.01)"
="year=2014 # marmara",="-0.106",="-0.108",="-10150.186",="-10150.186",="-0.005",="-0.005"
="",="(0.13)",="(0.13)",="(9071.75)",="(9071.75)",="(0.01)",="(0.01)"
="year=2015 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2015 # dogu",="0.053",="0.049",="-24149.594**",="-24149.594**",="-0.014",="-0.014"
="",="(0.13)",="(0.13)",="(8553.99)",="(8553.99)",="(0.01)",="(0.01)"
="year=2015 # ege",="0.005",="0.007",="-9511.616",="-9511.616",="-0.008",="-0.008"
="",="(0.14)",="(0.14)",="(9751.36)",="(9751.36)",="(0.01)",="(0.01)"
="year=2015 # guneydogu",="0.003",="-0.006",="-19819.473*",="-19819.473*",="-0.007",="-0.007"
="",="(0.14)",="(0.14)",="(9804.34)",="(9804.34)",="(0.01)",="(0.01)"
="year=2015 # icanadolu",="-0.078",="-0.079",="-12152.534",="-12152.534",="0.000",="0.000"
="",="(0.13)",="(0.13)",="(8773.62)",="(8773.62)",="(0.01)",="(0.01)"
