="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="year=2005 # dogu",="-0.241",="-0.009",="-0.007",="-4089.408",="-8.106",="0.000"
="",="(0.13)",="(0.22)",="(0.01)",="(8916.54)",="(6.46)",="(0.00)"
="year=2005 # ege",="0.084",="-0.007",="0.000",="-2280.170",="0.661",="0.001"
="",="(0.15)",="(0.25)",="(0.01)",="(10199.79)",="(7.38)",="(0.00)"
="year=2005 # guneydogu",="-0.363*",="-0.033",="-0.007",="-3096.471",="0.894",="0.001"
="",="(0.15)",="(0.25)",="(0.01)",="(10190.82)",="(7.39)",="(0.00)"
="year=2005 # icanadolu",="-0.200",="-0.073",="-0.004",="-6430.565",="-6.126",="-0.000"
="",="(0.13)",="(0.22)",="(0.01)",="(9151.39)",="(6.62)",="(0.00)"
="year=2005 # karadeniz",="-0.111",="0.081",="-0.001",="-2875.144",="-4.110",="0.000"
="",="(0.13)",="(0.21)",="(0.01)",="(8654.77)",="(6.26)",="(0.00)"
="year=2005 # marmara",="-0.125",="0.074",="-0.005",="-7603.331",="1.674",="0.000"
="",="(0.14)",="(0.23)",="(0.01)",="(9465.73)",="(6.85)",="(0.00)"
="year=2006 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2006 # dogu",="-0.236",="0.057",="-0.006",="-4251.282",="-7.298",="0.001"
="",="(0.13)",="(0.22)",="(0.01)",="(8914.12)",="(6.46)",="(0.00)"
="year=2006 # ege",="0.053",="0.053",="0.006",="3229.655",="-1.992",="0.000"
="",="(0.15)",="(0.25)",="(0.01)",="(10191.10)",="(7.38)",="(0.00)"
="year=2006 # guneydogu",="-0.338*",="0.051",="-0.003",="-1663.752",="-2.823",="0.000"
="",="(0.15)",="(0.25)",="(0.01)",="(10182.61)",="(7.38)",="(0.00)"
="year=2006 # icanadolu",="-0.182",="-0.005",="0.002",="-2771.043",="-5.949",="-0.000"
="",="(0.13)",="(0.22)",="(0.01)",="(9157.59)",="(6.62)",="(0.00)"
="year=2006 # karadeniz",="-0.109",="0.017",="-0.002",="-4535.557",="-3.891",="0.000"
="",="(0.13)",="(0.21)",="(0.01)",="(8654.69)",="(6.26)",="(0.00)"
="year=2006 # marmara",="-0.126",="0.273",="0.005",="2220.991",="-3.093",="-0.000"
="",="(0.14)",="(0.23)",="(0.01)",="(9463.90)",="(6.85)",="(0.00)"
="year=2007 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2007 # dogu",="-0.197",="0.167",="-0.005",="-5844.179",="-8.427",="0.001"
="",="(0.13)",="(0.22)",="(0.01)",="(8915.89)",="(6.45)",="(0.00)"
="year=2007 # ege",="0.032",="-0.108",="-0.004",="-1568.357",="-13.214",="-0.001"
="",="(0.15)",="(0.25)",="(0.01)",="(10181.23)",="(7.37)",="(0.00)"
="year=2007 # guneydogu",="-0.295*",="0.130",="-0.002",="-2924.168",="-4.294",="0.001"
="",="(0.15)",="(0.25)",="(0.01)",="(10182.33)",="(7.37)",="(0.00)"
="year=2007 # icanadolu",="-0.196",="-0.071",="-0.003",="-5425.101",="-4.970",="-0.000"
="",="(0.13)",="(0.22)",="(0.01)",="(9154.55)",="(6.62)",="(0.00)"
="year=2007 # karadeniz",="-0.093",="0.021",="-0.002",="-6982.501",="-6.459",="0.000"
="",="(0.13)",="(0.21)",="(0.01)",="(8653.29)",="(6.26)",="(0.00)"
="year=2007 # marmara",="-0.138",="0.170",="-0.002",="-2842.674",="-6.139",="-0.001"
="",="(0.14)",="(0.23)",="(0.01)",="(9462.40)",="(6.85)",="(0.00)"
="year=2008 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2008 # dogu",="-0.194",="0.146",="-0.007",="-8519.547",="-9.935",="-0.000"
="",="(0.13)",="(0.22)",="(0.01)",="(8916.08)",="(6.45)",="(0.00)"
="year=2008 # ege",="0.042",="-0.060",="-0.003",="-3888.498",="-10.473",="-0.001"
="",="(0.15)",="(0.25)",="(0.01)",="(10187.02)",="(7.37)",="(0.00)"
="year=2008 # guneydogu",="-0.346*",="0.030",="-0.007",="-5652.371",="2.359",="0.002"
="",="(0.15)",="(0.25)",="(0.01)",="(10181.44)",="(7.37)",="(0.00)"
="year=2008 # icanadolu",="-0.186",="-0.091",="-0.001",="-7010.733",="-0.640",="0.001"
="",="(0.13)",="(0.22)",="(0.01)",="(9158.69)",="(6.62)",="(0.00)"
="year=2008 # karadeniz",="-0.083",="0.013",="-0.003",="-8693.071",="-2.686",="0.001"
="",="(0.13)",="(0.21)",="(0.01)",="(8660.98)",="(6.26)",="(0.00)"
="year=2008 # marmara",="-0.090",="0.270",="0.002",="409.194",="3.660",="-0.000"
="",="(0.14)",="(0.23)",="(0.01)",="(9469.04)",="(6.85)",="(0.00)"
="year=2009 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2009 # dogu",="-0.182",="0.082",="-0.011",="-10246.304",="-8.438",="0.001"
="",="(0.13)",="(0.22)",="(0.01)",="(8920.68)",="(6.45)",="(0.00)"
="year=2009 # ege",="0.041",="0.004",="-0.003",="-2907.098",="-5.380",="0.000"
="",="(0.15)",="(0.25)",="(0.01)",="(10184.60)",="(7.37)",="(0.00)"
="year=2009 # guneydogu",="-0.333*",="0.050",="-0.010",="-8149.028",="4.874",="0.002"
="",="(0.15)",="(0.25)",="(0.01)",="(10184.81)",="(7.37)",="(0.00)"
="year=2009 # icanadolu",="-0.154",="-0.057",="0.001",="-6703.908",="-3.420",="0.000"
="",="(0.13)",="(0.22)",="(0.01)",="(9176.75)",="(6.63)",="(0.00)"
="year=2009 # karadeniz",="-0.041",="0.058",="-0.005",="-10952.776",="-4.458",="0.001"
="",="(0.13)",="(0.21)",="(0.01)",="(8679.18)",="(6.27)",="(0.00)"
="year=2009 # marmara",="-0.090",="0.252",="-0.004",="-6025.069",="-1.321",="-0.000"
="",="(0.14)",="(0.23)",="(0.01)",="(9477.06)",="(6.86)",="(0.00)"
="year=2010 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2010 # dogu",="-0.121",="-0.001",="-0.011",="-12241.412",="-9.321",="0.000"
="",="(0.13)",="(0.22)",="(0.01)",="(8920.41)",="(6.45)",="(0.00)"
="year=2010 # ege",="0.014",="-0.057",="-0.006",="-6124.143",="-7.120",="0.000"
="",="(0.15)",="(0.25)",="(0.01)",="(10181.64)",="(7.37)",="(0.00)"
="year=2010 # guneydogu",="-0.301*",="-0.057",="-0.012",="-10885.255",="4.222",="0.002"
="",="(0.15)",="(0.25)",="(0.01)",="(10182.76)",="(7.37)",="(0.00)"
="year=2010 # icanadolu",="-0.128",="-0.015",="0.002",="-8112.821",="-1.831",="0.001"
="",="(0.13)",="(0.22)",="(0.01)",="(9181.48)",="(6.64)",="(0.00)"
="year=2010 # karadeniz",="-0.022",="0.023",="-0.007",="-13516.411",="-4.782",="0.000"
="",="(0.13)",="(0.21)",="(0.01)",="(8681.11)",="(6.27)",="(0.00)"
="year=2010 # marmara",="-0.152",="0.220",="-0.004",="-4444.143",="-0.838",="0.000"
="",="(0.14)",="(0.23)",="(0.01)",="(9467.54)",="(6.85)",="(0.00)"
="year=2011 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2011 # dogu",="-0.094",="0.114",="-0.004",="-11185.184",="-14.412*",="0.001"
="",="(0.13)",="(0.22)",="(0.01)",="(8986.35)",="(6.52)",="(0.00)"
="year=2011 # ege",="-0.006",="-0.049",="-0.005",="-5989.286",="-10.149",="0.000"
="",="(0.15)",="(0.25)",="(0.01)",="(10213.10)",="(7.39)",="(0.00)"
="year=2011 # guneydogu",="-0.283",="0.003",="-0.007",="-10911.038",="-3.835",="0.000"
="",="(0.15)",="(0.25)",="(0.01)",="(10252.04)",="(7.43)",="(0.00)"
="year=2011 # icanadolu",="-0.162",="0.046",="0.007",="-7592.298",="-7.930",="-0.000"
="",="(0.13)",="(0.22)",="(0.01)",="(9170.46)",="(6.64)",="(0.00)"
="year=2011 # karadeniz",="-0.047",="0.026",="-0.002",="-12661.738",="-11.149",="-0.000"
="",="(0.13)",="(0.21)",="(0.01)",="(8677.15)",="(6.29)",="(0.00)"
="year=2011 # marmara",="-0.183",="0.259",="-0.003",="-7558.470",="-4.063",="-0.000"
="",="(0.14)",="(0.23)",="(0.01)",="(9470.17)",="(6.85)",="(0.00)"
="year=2012 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2012 # dogu",="-0.062",="0.127",="-0.007",="-11745.046",="-10.064",="0.000"
="",="(0.13)",="(0.22)",="(0.01)",="(9056.71)",="(6.57)",="(0.00)"
="year=2012 # ege",="0.020",="-0.103",="-0.010",="-8158.749",="-10.849",="-0.000"
="",="(0.15)",="(0.25)",="(0.01)",="(10205.22)",="(7.39)",="(0.00)"
