="",="(1)",="(2)",="(3)"
="",="(0.12)",="(8595.82)",="(0.01)"
="year=2007 # ege",="0.009",="-943.756",="-0.004"
="",="(0.14)",="(9816.43)",="(0.01)"
="year=2007 # guneydogu",="-0.226",="-4300.188",="-0.002"
="",="(0.14)",="(9822.11)",="(0.01)"
="year=2007 # icanadolu",="-0.174",="-5448.319",="-0.002"
="",="(0.13)",="(8822.73)",="(0.01)"
="year=2007 # karadeniz",="-0.069",="-6489.418",="-0.002"
="",="(0.12)",="(8341.92)",="(0.01)"
="year=2007 # marmara",="-0.140",="-2593.904",="-0.003"
="",="(0.13)",="(9122.27)",="(0.01)"
="year=2008 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2008 # dogu",="-0.143",="-9253.593",="-0.006"
="",="(0.12)",="(8596.83)",="(0.01)"
="year=2008 # ege",="0.006",="-2864.133",="-0.002"
="",="(0.14)",="(9818.60)",="(0.01)"
="year=2008 # guneydogu",="-0.262",="-7461.345",="-0.007"
="",="(0.14)",="(9824.84)",="(0.01)"
="year=2008 # icanadolu",="-0.176",="-6660.395",="-0.000"
="",="(0.13)",="(8824.08)",="(0.01)"
="year=2008 # karadeniz",="-0.072",="-7803.325",="-0.002"
="",="(0.12)",="(8345.42)",="(0.01)"
="year=2008 # marmara",="-0.110",="1173.584",="0.003"
="",="(0.13)",="(9125.33)",="(0.01)"
="year=2009 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2009 # dogu",="-0.121",="-11285.844",="-0.010"
="",="(0.12)",="(8601.28)",="(0.01)"
="year=2009 # ege",="0.008",="-1965.810",="-0.003"
="",="(0.14)",="(9817.62)",="(0.01)"
="year=2009 # guneydogu",="-0.247",="-10012.928",="-0.010"
="",="(0.14)",="(9828.58)",="(0.01)"
="year=2009 # icanadolu",="-0.140",="-6495.049",="0.002"
="",="(0.13)",="(8831.28)",="(0.01)"
="year=2009 # karadeniz",="-0.013",="-10579.729",="-0.004"
="",="(0.12)",="(8351.21)",="(0.01)"
="year=2009 # marmara",="-0.110",="-5237.322",="-0.003"
="",="(0.13)",="(9127.50)",="(0.01)"
="year=2010 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2010 # dogu",="-0.042",="-13851.167",="-0.011"
="",="(0.12)",="(8606.69)",="(0.01)"
="year=2010 # ege",="-0.028",="-4897.495",="-0.006"
="",="(0.14)",="(9818.32)",="(0.01)"
="year=2010 # guneydogu",="-0.187",="-13620.476",="-0.012"
="",="(0.14)",="(9838.20)",="(0.01)"
="year=2010 # icanadolu",="-0.107",="-8096.478",="0.003"
="",="(0.13)",="(8833.88)",="(0.01)"
="year=2010 # karadeniz",="0.028",="-13832.752",="-0.006"
="",="(0.12)",="(8354.83)",="(0.01)"
="year=2010 # marmara",="-0.131",="-4848.063",="-0.003"
="",="(0.13)",="(9124.68)",="(0.01)"
="year=2011 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2011 # dogu",="-0.016",="-16694.856",="-0.009"
="",="(0.12)",="(8646.11)",="(0.01)"
="year=2011 # ege",="-0.046",="-2953.379",="-0.002"
="",="(0.14)",="(9834.61)",="(0.01)"
="year=2011 # guneydogu",="-0.195",="-16766.914",="-0.012"
="",="(0.14)",="(9888.84)",="(0.01)"
="year=2011 # icanadolu",="-0.145",="-9708.914",="0.005"
