="",="(1)",="(2)",="(3)",="(4)"
="year=2008 # karadeniz",="-0.070",="0.001",="-0.003",="-8459.737"
="",="(0.12)",="(0.00)",="(0.01)",="(8202.02)"
="year=2008 # marmara",="-0.103",="-0.000",="0.003",="690.983"
="",="(0.13)",="(0.00)",="(0.01)",="(8968.28)"
="year=2009 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2009 # dogu",="-0.117",="0.001",="-0.010",="-10556.239"
="",="(0.12)",="(0.00)",="(0.01)",="(8452.15)"
="year=2009 # ege",="0.014",="-0.000",="-0.003",="-2663.895"
="",="(0.14)",="(0.00)",="(0.01)",="(9648.53)"
="year=2009 # guneydogu",="-0.244",="0.002",="-0.009",="-8828.927"
="",="(0.14)",="(0.00)",="(0.01)",="(9658.07)"
="year=2009 # icanadolu",="-0.128",="0.000",="0.002",="-6771.288"
="",="(0.13)",="(0.00)",="(0.01)",="(8679.49)"
="year=2009 # karadeniz",="-0.006",="0.001",="-0.004",="-10938.728"
="",="(0.12)",="(0.00)",="(0.01)",="(8207.85)"
="year=2009 # marmara",="-0.100",="-0.000",="-0.003",="-5821.704"
="",="(0.13)",="(0.00)",="(0.01)",="(8970.77)"
="year=2010 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2010 # dogu",="-0.037",="0.000",="-0.010",="-12630.500"
="",="(0.12)",="(0.00)",="(0.01)",="(8457.20)"
="year=2010 # ege",="-0.026",="0.000",="-0.007",="-5776.105"
="",="(0.14)",="(0.00)",="(0.01)",="(9649.05)"
="year=2010 # guneydogu",="-0.184",="0.002",="-0.010",="-11728.672"
="",="(0.14)",="(0.00)",="(0.01)",="(9667.33)"
="year=2010 # icanadolu",="-0.095",="0.000",="0.003",="-8232.750"
="",="(0.13)",="(0.00)",="(0.01)",="(8681.90)"
="year=2010 # karadeniz",="0.037",="-0.000",="-0.005",="-13642.417"
="",="(0.12)",="(0.00)",="(0.01)",="(8210.61)"
="year=2010 # marmara",="-0.123",="0.000",="-0.003",="-4557.891"
="",="(0.13)",="(0.00)",="(0.01)",="(8966.86)"
="year=2011 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2011 # dogu",="-0.027",="0.002",="-0.008",="-14264.665"
="",="(0.13)",="(0.00)",="(0.01)",="(8565.96)"
="year=2011 # ege",="-0.068",="-0.000",="-0.003",="-3604.544"
="",="(0.14)",="(0.00)",="(0.01)",="(9654.91)"
="year=2011 # guneydogu",="-0.194",="0.001",="-0.011",="-14351.389"
="",="(0.14)",="(0.00)",="(0.01)",="(9727.05)"
="year=2011 # icanadolu",="-0.157",="0.000",="0.005",="-8847.702"
="",="(0.13)",="(0.00)",="(0.01)",="(8744.69)"
="year=2011 # karadeniz",="-0.048",="-0.000",="-0.005",="-13761.174"
="",="(0.12)",="(0.00)",="(0.01)",="(8294.44)"
="year=2011 # marmara",="-0.235",="-0.000",="-0.003",="-6267.795"
="",="(0.13)",="(0.00)",="(0.01)",="(9105.45)"
="year=2012 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2012 # dogu",="-0.014",="0.001",="-0.014",="-16561.371"
="",="(0.13)",="(0.00)",="(0.01)",="(8566.12)"
="year=2012 # ege",="-0.031",="-0.000",="-0.008",="-6724.507"
="",="(0.14)",="(0.00)",="(0.01)",="(9655.35)"
="year=2012 # guneydogu",="-0.176",="0.001",="-0.013",="-16360.458"
="",="(0.14)",="(0.00)",="(0.01)",="(9726.56)"
="year=2012 # icanadolu",="-0.156",="-0.000",="-0.004",="-13353.818"
="",="(0.13)",="(0.00)",="(0.01)",="(8744.48)"
="year=2012 # karadeniz",="-0.029",="-0.001",="-0.011",="-17077.525*"
="",="(0.12)",="(0.00)",="(0.01)",="(8300.55)"
="year=2012 # marmara",="-0.188",="-0.001",="-0.003",="-6392.638"
="",="(0.13)",="(0.00)",="(0.01)",="(9107.84)"
="year=2013 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2013 # dogu",="-0.013",="0.001",="-0.013",="-16679.094"
="",="(0.13)",="(0.00)",="(0.01)",="(8553.23)"
="year=2013 # ege",="-0.014",="-0.000",="-0.007",="-7111.040"
="",="(0.14)",="(0.00)",="(0.01)",="(9651.41)"
="year=2013 # guneydogu",="-0.129",="0.001",="-0.006",="-14682.231"
="",="(0.14)",="(0.00)",="(0.01)",="(9734.70)"
="year=2013 # icanadolu",="-0.153",="-0.000",="-0.002",="-8824.078"
="",="(0.13)",="(0.00)",="(0.01)",="(8745.71)"
="year=2013 # karadeniz",="-0.035",="-0.000",="-0.012",="-17303.759*"
="",="(0.12)",="(0.00)",="(0.01)",="(8298.67)"
="year=2013 # marmara",="-0.132",="-0.000",="-0.004",="-4346.946"
="",="(0.13)",="(0.00)",="(0.01)",="(9115.34)"
="year=2014 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2014 # dogu",="-0.008",="0.001",="-0.013",="-19931.335*"
="",="(0.13)",="(0.00)",="(0.01)",="(8554.08)"
="year=2014 # ege",="0.004",="-0.001",="-0.007",="-9586.933"
="",="(0.14)",="(0.00)",="(0.01)",="(9652.80)"
="year=2014 # guneydogu",="-0.062",="0.002",="-0.004",="-15349.741"
="",="(0.14)",="(0.00)",="(0.01)",="(9741.24)"
="year=2014 # icanadolu",="-0.140",="0.000",="-0.006",="-12637.184"
="",="(0.13)",="(0.00)",="(0.01)",="(8746.73)"
="year=2014 # karadeniz",="0.002",="-0.000",="-0.010",="-20929.018*"
="",="(0.12)",="(0.00)",="(0.01)",="(8303.24)"
="year=2014 # marmara",="-0.153",="-0.001",="-0.006",="-8666.791"
="",="(0.13)",="(0.00)",="(0.01)",="(9112.11)"
="year=2015 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2015 # dogu",="0.012",="0.001",="-0.014",="-22205.300**"
="",="(0.13)",="(0.00)",="(0.01)",="(8561.21)"
="year=2015 # ege",="0.002",="-0.001",="-0.009",="-9495.288"
="",="(0.14)",="(0.00)",="(0.01)",="(9655.55)"
="year=2015 # guneydogu",="-0.034",="0.002",="-0.006",="-17723.239"
="",="(0.14)",="(0.00)",="(0.01)",="(9759.97)"
="year=2015 # icanadolu",="-0.109",="-0.000",="-0.000",="-10800.661"
="",="(0.13)",="(0.00)",="(0.01)",="(8747.85)"
="year=2015 # karadeniz",="0.022",="-0.000",="-0.008",="-21898.105**"
="",="(0.12)",="(0.00)",="(0.01)",="(8310.74)"
="year=2015 # marmara",="-0.133",="-0.001",="-0.004",="-4360.735"
="",="(0.13)",="(0.00)",="(0.01)",="(9114.17)"
="year=2016 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2016 # dogu",="0.066",="0.002",="-0.019*",="-24149.201**"
="",="(0.13)",="(0.00)",="(0.01)",="(8479.38)"
="year=2016 # ege",="0.000",="-0.000",="-0.012",="-10506.061"
="",="(0.14)",="(0.00)",="(0.01)",="(9649.51)"
="year=2016 # guneydogu",="-0.012",="0.002",="-0.008",="-20437.592*"
="",="(0.14)",="(0.00)",="(0.01)",="(9720.83)"
="year=2016 # icanadolu",="-0.107",="0.000",="-0.007",="-16878.912"
="",="(0.13)",="(0.00)",="(0.01)",="(8704.05)"
="year=2016 # karadeniz",="0.044",="0.000",="-0.012",="-23434.873**"
="",="(0.12)",="(0.00)",="(0.01)",="(8262.54)"
="year=2016 # marmara",="-0.114",="-0.000",="-0.006",="-10346.173"
="",="(0.13)",="(0.00)",="(0.01)",="(8979.47)"
="year=2017 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2017 # dogu",="0.107",="-0.000",="-0.007",="-16404.812"
="",="(0.13)",="(0.00)",="(0.01)",="(8486.36)"
="year=2017 # ege",="0.013",="-0.001",="-0.007",="-9448.741"
="",="(0.14)",="(0.00)",="(0.01)",="(9652.72)"
="year=2017 # guneydogu",="0.006",="0.001",="-0.008",="-18437.793"
="",="(0.14)",="(0.00)",="(0.01)",="(9744.20)"
="year=2017 # icanadolu",="-0.079",="-0.001",="-0.005",="-13109.645"
="",="(0.13)",="(0.00)",="(0.01)",="(8711.14)"
="year=2017 # karadeniz",="0.033",="-0.001",="-0.008",="-16649.851*"
="",="(0.12)",="(0.00)",="(0.01)",="(8276.80)"
="year=2017 # marmara",="-0.103",="-0.001",="-0.000",="-9802.324"
="",="(0.13)",="(0.00)",="(0.01)",="(8986.85)"
="year=2018 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2018 # dogu",="0.218",="0.000",="-0.003",="-14655.838"
="",="(0.13)",="(0.00)",="(0.01)",="(8531.36)"
="year=2018 # ege",="0.034",="-0.001",="-0.007",="-12332.771"
="",="(0.14)",="(0.00)",="(0.01)",="(9651.74)"
="year=2018 # guneydogu",="0.036",="0.001",="0.000",="-16201.606"
