year,region_code,province,registered_voters_loc,registered_voters_gen,registered_voters_ref,participation_rate,participation_rate15,participation_rate_loc,participation_ref,akp_gen,akp_15,chp_gen,chp_15,mhp_gen,mhp_15,hdp_gen,hdp_15,loc_mayors,mhp_loc,akp_loc,chp_loc,ref_yes,ref_no,crude_divorce_rate100,divorce_byd_1_10,divorce_byd_11_15,divorce_byd_16,divorce_byd_below1,divorce_byd_1,divorce_byd_2,crude_suicide_rate1000,suicides_male_total,suicides_female_total,suicides_male_below15,suicides_male_15,suicides_male_25,suicides_male_35,suicides_male_45,suicides_male_55,suicides_male_65,suicides_male_75,suicides_female_below15,suicides_female_15,suicides_female_25,suicides_female_35,suicides_female_45,suicides_female_55,suicides_female_65,suicides_female_75
2017,TR722,Sivas,,,432597,,,,86.5,,,,,,,,,,,,,71.3,28.7,1.01,122,90,160,34,64,50,5.31,28,5,2,7,1,5,5,6,1,1,0,1,1,1,1,0,0,1
2018,TR722,Sivas,,450068,,89.8,,,,3,,1,,1,,0,,,,,,,,1.22,160,96,194,31,82,78,6.31,32,8,1,8,9,3,3,5,3,0,0,2,2,1,2,0,1,0
2019,TR722,Sivas,328017,,,,,85.3,,,,,,,,,,24,10,10,2,,,1.36,172,145,221,32,90,63,4.51,25,4,0,7,3,2,3,4,1,5,0,2,0,0,0,0,1,1
2000,TR723,Yozgat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,0,1,2,1,0,0,1,0,0,1,0,0,0,0,1,0
2001,TR723,Yozgat,,,,,,,,,,,,,,,,,,,,,,1.83,257,141,121,52,98,102,1.29,5,2,0,1,1,1,1,0,1,0,0,2,0,0,0,0,0,0
2002,TR723,Yozgat,,318147,,77.4,,,,5,,1,,,,,,,,,,,,1.95,246,127,158,46,90,111,1.5,5,3,0,4,0,0,1,0,0,0,0,1,2,0,0,0,0,0
2003,TR723,Yozgat,,,,,,,,,,,,,,,,,,,,,,1.81,203,114,149,60,84,107,3.22,11,6,1,2,3,0,1,4,0,0,0,2,2,0,2,0,0,0
2004,TR723,Yozgat,212575,,,,,79.2,,,,,,,,,,65,6,42,7,,,1.67,192,81,123,50,97,123,1.92,6,4,0,2,1,2,1,0,0,0,1,1,0,1,0,0,0,0
2005,TR723,Yozgat,,,,,,,,,,,,,,,,,,,,,,1.49,147,93,115,40,83,85,2.54,6,7,1,2,2,1,0,0,0,0,1,1,1,2,1,0,0,1
2006,TR723,Yozgat,,,,,,,,,,,,,,,,,,,,,,1.37,136,68,88,43,68,84,2.58,10,3,0,0,1,1,4,3,0,0,0,1,1,0,0,1,0,0
2007,TR723,Yozgat,,296602,296148,85.1,,,72.7,5,,0,,1,,,,,,,,84.1,15.9,1.38,130,61,97,50,67,75,2.22,7,4,0,1,2,2,0,1,0,1,0,0,1,1,0,1,0,1
2008,TR723,Yozgat,,,,,,,,,,,,,,,,,,,,,,1.28,137,63,85,37,73,80,2.25,8,3,0,2,1,2,1,1,1,0,0,2,0,0,0,1,0,0
2009,TR723,Yozgat,228012,,,,,79.4,,,,,,,,,,64,17,33,7,,,1.41,178,72,88,38,67,91,2.26,7,4,1,0,2,2,1,0,1,0,0,3,0,0,0,1,0,0
2010,TR723,Yozgat,,,319155,,,,80.7,,,,,,,,,,,,,77.3,22.7,1.41,152,75,100,34,68,60,2.7,10,3,0,3,1,0,4,0,1,1,0,0,2,0,1,0,0,0
2011,TR723,Yozgat,,317356,,82.2,,,,3,,0,,1,,,,,,,,,,1.32,129,72,90,35,80,71,1.7,4,4,0,1,1,0,1,0,1,0,0,1,2,0,0,1,0,0
2012,TR723,Yozgat,,,,,,,,,,,,,,,,,,,,,,1.49,153,84,103,55,70,84,4.57,13,8,0,2,5,1,2,1,0,2,2,2,1,0,1,1,0,1
2013,TR723,Yozgat,,,,,,,,,,,,,,,,,,,,,,1.49,144,77,134,56,70,43,2.9,11,2,0,3,2,0,3,2,1,0,0,1,0,0,0,1,0,0
2014,TR723,Yozgat,210019,,,,,84.4,,,,,,,,,,36,2,29,1,,,1.57,166,77,117,53,83,64,1.37,6,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2015,TR723,Yozgat,,300197,,81.6,83.6,,,3,4,0,0,1,0,0,0,,,,,,,1.52,146,76,112,55,81,60,3.29,10,4,0,3,3,0,3,1,0,0,0,0,0,2,2,0,0,0
2016,TR723,Yozgat,,,,,,,,,,,,,,,,,,,,,,1.32,124,57,101,48,79,37,2.38,8,2,0,2,0,0,1,3,1,1,1,0,0,0,1,0,0,0
2017,TR723,Yozgat,,,294602,,,,83.6,,,,,,,,,,,,,74.3,25.7,1.14,95,52,97,39,62,45,4.29,17,1,1,4,2,2,4,3,0,1,0,1,0,0,0,0,0,0
2018,TR723,Yozgat,,296268,,86.4,,,,2,,1,,1,,0,,,,,,,,1.47,105,105,110,49,75,52,4.74,12,8,0,2,1,2,5,2,0,0,0,3,0,2,0,2,1,0
2019,TR723,Yozgat,214034,,,,,84.4,,,,,,,,,,36,8,22,2,,,1.41,114,88,142,38,66,46,4.73,14,6,0,3,3,2,2,2,1,1,0,2,1,1,1,0,1,0
2000,TR811,Zonguldak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,0,1,3,1,1,0,1,0,0,1,0,0,0,0,0,0
2001,TR811,Zonguldak,,,,,,,,,,,,,,,,,,,,,,2.03,230,168,470,58,81,78,1.27,6,2,0,0,5,0,1,0,0,0,0,2,0,0,0,0,0,0
2002,TR811,Zonguldak,,439345,,80.3,,,,3,,2,,,,,,,,,,,,2.24,258,179,541,52,67,104,2.07,10,3,0,1,0,4,1,1,1,2,0,1,1,1,0,0,0,0
2003,TR811,Zonguldak,,,,,,,,,,,,,,,,,,,,,,2.52,277,216,648,46,81,89,4.31,22,5,0,7,3,6,2,2,1,1,0,2,2,1,0,0,0,0
2004,TR811,Zonguldak,276130,,,,,75.2,,,,,,,,,,32,1,20,6,,,1.95,214,149,471,46,62,71,2.4,7,8,0,0,2,1,1,1,2,0,0,4,0,0,2,2,0,0
2005,TR811,Zonguldak,,,,,,,,,,,,,,,,,,,,,,1.77,184,132,430,45,77,64,4.02,20,5,0,9,3,1,3,0,2,2,1,1,1,0,1,0,0,0
2006,TR811,Zonguldak,,,,,,,,,,,,,,,,,,,,,,1.63,209,126,329,47,66,61,5.33,23,10,0,3,6,4,3,2,4,1,0,4,0,1,1,2,1,1
2007,TR811,Zonguldak,,428129,428802,83.7,,,70,3,,2,,0,,,,,,,,61.4,38.6,1.79,212,135,377,58,76,62,5.51,18,16,0,4,5,5,2,0,1,1,0,1,2,2,5,1,1,3
2008,TR811,Zonguldak,,,,,,,,,,,,,,,,,,,,,,1.9,199,164,451,40,79,84,2.43,13,2,0,2,2,2,1,1,1,0,0,0,1,0,0,0,0,1
2009,TR811,Zonguldak,295194,,,,,84.4,,,,,,,,,,31,0,19,7,,,1.89,228,178,365,45,82,96,5.97,25,12,0,0,3,7,7,5,0,3,0,1,3,2,1,3,1,1
2010,TR811,Zonguldak,,,455043,,,,83.6,,,,,,,,,,,,,50,50,1.65,233,153,219,51,81,71,6.78,27,15,0,7,6,4,4,3,0,3,0,4,5,2,2,2,0,0
2011,TR811,Zonguldak,,455640,,88.4,,,,3,,2,,0,,,,,,,,,,1.54,189,152,236,28,70,89,3.57,16,6,0,4,1,2,3,4,0,2,0,1,2,0,0,1,1,1
2012,TR811,Zonguldak,,,,,,,,,,,,,,,,,,,,,,1.63,191,176,241,41,89,62,4.92,22,8,0,3,4,6,4,1,2,2,0,4,1,1,0,0,2,0
2013,TR811,Zonguldak,,,,,,,,,,,,,,,,,,,,,,1.63,227,157,252,41,57,63,5.13,24,7,0,4,5,4,5,3,2,1,0,1,2,1,0,1,2,0
2014,TR811,Zonguldak,303777,,,,,88.7,,,,,,,,,,25,2,11,12,,,1.88,269,168,296,41,93,74,4.67,20,8,0,2,3,3,6,1,1,3,0,1,1,0,0,1,2,3
2015,TR811,Zonguldak,,447533,,86.1,86,,,2,3,2,2,1,0,0,0,,,,,,,1.78,236,158,286,46,71,83,4.85,22,7,0,2,6,2,5,4,1,2,0,0,3,0,0,1,1,2
2016,TR811,Zonguldak,,,,,,,,,,,,,,,,,,,,,,1.66,233,159,263,46,86,56,3.85,14,9,0,4,2,0,5,0,1,2,0,3,0,0,4,1,0,1
2017,TR811,Zonguldak,,,447591,,,,86.6,,,,,,,,,,,,,49.3,50.7,1.56,214,134,282,31,55,61,2.01,8,4,0,1,1,5,0,1,0,0,1,0,1,1,0,1,0,0
2018,TR811,Zonguldak,,446863,,87.9,,,,3,,2,,0,,0,,,,,,,,1.97,238,161,376,47,64,77,4.51,15,12,0,0,3,2,3,3,0,4,0,3,1,3,0,0,3,2
2019,TR811,Zonguldak,309720,,,,,84.9,,,,,,,,,,25,0,13,11,,,2.05,234,197,423,20,85,70,5.19,25,6,0,3,2,4,5,4,3,4,0,1,0,0,1,2,1,1
2000,TR812,Karabük,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
2001,TR812,Karabük,,,,,,,,,,,,,,,,,,,,,,1.43,70,41,74,19,25,18,3.39,4,3,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0
2002,TR812,Karabük,,156811,,82.7,,,,3,,0,,,,,,,,,,,,1.5,57,36,82,18,38,27,1.44,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2003,TR812,Karabük,,,,,,,,,,,,,,,,,,,,,,1.55,59,49,87,12,33,29,2.86,5,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0
2004,TR812,Karabük,107520,,,,,78.1,,,,,,,,,,8,0,4,1,,,1.43,65,35,80,16,22,23,2.83,4,2,0,1,1,1,0,1,0,0,0,0,0,0,0,2,0,0
2005,TR812,Karabük,,,,,,,,,,,,,,,,,,,,,,1.36,56,39,63,22,29,23,1.87,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2006,TR812,Karabük,,,,,,,,,,,,,,,,,,,,,,1.33,58,33,56,27,29,32,1.39,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2007,TR812,Karabük,,151375,151645,86.6,,,74.4,3,,0,,0,,,,,,,,75.4,24.6,1.29,64,41,57,17,26,16,3.22,5,2,0,1,3,0,0,1,0,0,0,1,0,0,0,1,0,0
2008,TR812,Karabük,,,,,,,,,,,,,,,,,,,,,,1.3,48,36,65,15,35,25,3.22,7,0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0
2009,TR812,Karabük,122242,,,,,86.3,,,,,,,,,,8,1,7,0,,,1.66,69,56,81,22,31,25,4.6,3,7,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1
2010,TR812,Karabük,,,163081,,,,83.7,,,,,,,,,,,,,63.8,36.2,1.47,77,52,77,16,24,21,1.79,3,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0
2011,TR812,Karabük,,164205,,88.3,,,,2,,0,,0,,,,,,,,,,1.79,78,71,96,22,32,31,3.13,4,3,0,1,2,0,1,0,0,0,1,0,1,0,0,0,0,1
2012,TR812,Karabük,,,,,,,,,,,,,,,,,,,,,,1.62,89,47,86,20,22,26,6.29,13,1,0,1,1,2,3,2,1,3,0,0,0,0,0,0,0,1
2013,TR812,Karabük,,,,,,,,,,,,,,,,,,,,,,1.53,72,48,84,10,42,26,4.39,10,,0,1,1,2,1,3,0,2,,,,,,,,
2014,TR812,Karabük,125875,,,,,89.4,,,,,,,,,,7,2,5,0,,,1.63,77,51,115,20,28,21,1.73,2,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
2015,TR812,Karabük,,167789,,86.4,87.2,,,1,2,0,0,1,0,0,0,,,,,,,1.66,74,51,111,20,33,25,4.27,8,2,1,1,0,2,3,0,1,0,0,1,0,0,0,0,0,1
2016,TR812,Karabük,,,,,,,,,,,,,,,,,,,,,,1.36,68,50,93,16,29,26,3.34,7,1,0,1,2,2,0,1,0,1,0,0,0,0,0,0,1,0
2017,TR812,Karabük,,,172642,,,,86.9,,,,,,,,,,,,,60.7,39.3,1.3,68,53,87,14,32,15,3.29,6,2,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,2
2018,TR812,Karabük,,175500,,88,,,,2,,1,,0,,0,,,,,,,,1.62,86,64,121,14,33,18,4.06,9,1,0,1,1,3,1,1,1,1,0,0,0,1,0,0,0,0
2019,TR812,Karabük,132668,,,,,84.1,,,,,,,,,,7,4,2,1,,,1.9,99,74,131,20,34,36,4.03,7,3,0,1,1,0,1,1,1,2,0,0,0,0,1,0,1,1
2000,TR813,Bartýn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,2,2,1,0,0,0,0,0,1,5,1,0,0,0,0,0
2001,TR813,Bartýn,,,,,,,,,,,,,,,,,,,,,,2.05,65,44,109,12,30,29,15.86,14,14,0,4,4,0,1,1,4,0,0,8,1,1,1,0,3,0
2002,TR813,Bartýn,,133008,,81.6,,,,2,,0,,,,,,,,,,,,1.92,58,33,133,15,22,22,2.82,3,2,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0
2003,TR813,Bartýn,,,,,,,,,,,,,,,,,,,,,,1.95,58,42,145,9,20,25,7.29,6,7,0,2,1,1,0,0,2,0,1,1,2,2,0,0,1,0
2004,TR813,Bartýn,48119,,,,,77.3,,,,,,,,,,9,0,4,3,,,1.98,55,41,131,14,28,18,5.03,4,5,0,0,1,1,1,0,0,0,0,3,1,1,0,0,0,0
2005,TR813,Bartýn,,,,,,,,,,,,,,,,,,,,,,1.73,52,40,98,23,29,21,5,6,3,0,1,0,0,1,1,2,1,1,0,0,1,0,0,1,0
2006,TR813,Bartýn,,,,,,,,,,,,,,,,,,,,,,1.22,41,34,39,14,18,21,10.51,13,6,0,2,2,4,0,1,1,1,0,1,0,1,1,0,0,2
2007,TR813,Bartýn,,132265,132428,86.5,,,74.4,1,,1,,0,,,,,,,,65.1,34.9,1.44,49,36,78,12,24,19,7.15,8,5,0,1,2,0,1,0,2,2,0,2,0,1,0,0,1,1
2008,TR813,Bartýn,,,,,,,,,,,,,,,,,,,,,,1.28,49,28,73,11,22,18,7.07,10,3,0,2,3,1,0,3,1,0,0,2,1,0,0,0,0,0
2009,TR813,Bartýn,53237,,,,,86.1,,,,,,,,,,9,1,6,2,,,1.83,69,60,109,6,31,20,5.35,6,4,0,2,1,0,0,3,0,0,1,0,1,1,1,0,0,0
2010,TR813,Bartýn,,,140105,,,,86.5,,,,,,,,,,,,,55.4,44.6,1.58,66,41,76,15,28,20,4.25,4,4,0,0,0,3,0,0,1,0,0,1,0,0,0,1,1,1
2011,TR813,Bartýn,,140076,,88.3,,,,1,,1,,0,,,,,,,,,,1.56,51,48,77,15,32,16,4.27,6,2,0,0,1,0,2,0,1,2,0,1,1,0,0,0,0,0
2012,TR813,Bartýn,,,,,,,,,,,,,,,,,,,,,,1.41,55,34,56,19,17,19,1.6,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2013,TR813,Bartýn,,,,,,,,,,,,,,,,,,,,,,1.46,59,42,64,10,32,18,6.89,9,4,0,1,0,3,0,1,2,2,0,0,0,3,0,0,1,0
2014,TR813,Bartin,62167,,,,,88.7,,,,,,,,,,8,2,5,1,,,1.44,57,44,63,6,19,21,1.06,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2015,TR813,Bartin,,142950,,86.7,86.2,,,1,1,1,1,0,0,0,0,,,,,,,1.4,57,42,64,5,34,21,6.31,9,3,0,2,1,2,1,1,1,1,1,1,1,0,0,0,0,0
2016,TR813,Bartin,,,,,,,,,,,,,,,,,,,,,,1.43,60,44,74,2,23,21,4.7,4,5,0,0,1,0,0,0,1,2,0,0,0,0,1,1,3,0
2017,TR813,Bartin,,,144809,,,,86.2,,,,,,,,,,,,,56,44,1.35,58,43,72,2,29,21,6.22,9,3,0,2,1,2,0,3,1,0,0,1,0,1,1,0,0,0
2018,TR813,Bartin,,146888,,87.6,,,,1,,1,,0,,0,,,,,,,,1.63,71,47,66,2,38,24,5.09,9,1,0,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0
2019,TR813,Bartin,70616,,,,,82.2,,,,,,,,,,8,3,4,1,,,1.92,76,69,118,3,38,22,5.03,8,2,0,0,3,2,1,1,0,1,0,1,1,0,0,0,0,0
2000,TR821,Kastamonu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,0,2,2,0,1,2,0,0,0,1,0,1,0,1,0,0
2001,TR821,Kastamonu,,,,,,,,,,,,,,,,,,,,,,1,68,44,92,18,36,26,5.96,14,7,0,4,0,6,2,1,1,0,0,4,1,2,0,0,0,0
2002,TR821,Kastamonu,,264823,,82,,,,3,,1,,,,,,,,,,,,1.03,65,44,114,21,37,25,3.67,7,6,0,1,4,1,0,0,0,1,0,1,0,1,0,2,1,1
2003,TR821,Kastamonu,,,,,,,,,,,,,,,,,,,,,,0.97,62,57,84,16,29,27,6.2,15,7,0,2,2,2,1,3,4,1,0,1,1,2,0,2,0,1
2004,TR821,Kastamonu,123900,,,,,77.9,,,,,,,,,,21,4,11,3,,,0.95,66,44,89,20,30,21,8.42,17,13,1,4,2,1,3,4,0,2,1,4,4,1,0,1,1,0
2005,TR821,Kastamonu,,,,,,,,,,,,,,,,,,,,,,0.93,64,48,69,13,44,30,5.32,13,6,0,0,2,4,1,2,2,2,0,1,1,0,0,2,0,2
2006,TR821,Kastamonu,,,,,,,,,,,,,,,,,,,,,,0.98,75,47,77,16,44,27,5.3,12,7,0,1,5,2,2,1,1,0,0,0,2,1,0,0,1,2
2007,TR821,Kastamonu,,261818,261208,86.5,,,76.2,3,,0,,1,,,,,,,,71.2,28.8,0.82,73,38,62,15,34,21,5.84,15,6,0,1,4,1,3,1,3,2,0,2,2,0,0,1,0,1
2008,TR821,Kastamonu,,,,,,,,,,,,,,,,,,,,,,1,73,49,88,17,45,25,6.1,17,5,0,1,3,5,3,2,2,1,0,1,0,1,1,1,0,1
2009,TR821,Kastamonu,135202,,,,,86.7,,,,,,,,,,21,5,14,0,,,1.22,85,63,108,18,42,46,5.55,14,6,0,1,0,2,2,4,3,2,0,1,1,2,1,0,0,1
2010,TR821,Kastamonu,,,269272,,,,85,,,,,,,,,,,,,62.8,37.2,1.2,82,62,128,12,46,34,3.61,12,1,0,2,1,4,2,1,1,1,0,0,0,1,0,0,0,0
2011,TR821,Kastamonu,,269570,,88.3,,,,2,,0,,1,,,,,,,,,,1.38,101,70,126,23,51,32,4.44,10,6,0,2,4,0,0,0,4,0,0,2,2,0,0,1,1,0
2012,TR821,Kastamonu,,,,,,,,,,,,,,,,,,,,,,1.25,97,69,118,4,37,37,8.06,23,6,0,4,5,2,2,3,4,3,0,0,0,1,1,1,1,2
2013,TR821,Kastamonu,,,,,,,,,,,,,,,,,,,,,,1.06,86,59,97,10,40,18,4.4,14,2,1,1,4,0,4,0,1,3,0,0,1,0,0,0,0,1
2014,TR821,Kastamonu,148421,,,,,89.5,,,,,,,,,,20,4,14,1,,,1.08,93,49,89,20,53,26,4.88,13,5,1,3,0,3,2,2,1,1,0,1,0,0,1,0,0,2
2015,TR821,Kastamonu,,276527,,85.3,84.6,,,2,3,0,0,1,0,0,0,,,,,,,0.99,80,63,81,17,45,26,4.32,11,5,0,2,3,2,3,0,1,0,0,0,1,0,2,0,2,0
2016,TR821,Kastamonu,,,,,,,,,,,,,,,,,,,,,,1.02,90,64,86,15,47,21,4.8,12,6,0,2,1,3,2,0,1,3,0,2,2,0,1,1,0,0
2017,TR821,Kastamonu,,,278386,,,,83.7,,,,,,,,,,,,,64.8,35.2,1.05,81,70,114,10,42,22,4.8,15,3,1,3,2,4,2,1,2,0,0,1,1,1,0,0,0,0
2018,TR821,Kastamonu,,285633,,87.2,,,,2,,1,,0,,0,,,,,,,,1.3,95,91,122,18,44,37,4.76,10,8,0,0,3,3,0,1,0,3,0,2,1,0,2,1,0,2
2019,TR821,Kastamonu,162644,,,,,85,,,,,,,,,,20,7,10,3,,,1.2,90,80,135,10,56,26,5.77,18,4,0,3,2,6,3,2,1,1,0,1,0,1,1,0,0,1
2000,TR822,Çankýrý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,TR822,Çankýrý,,,,,,,,,,,,,,,,,,,,,,1.06,41,31,35,7,22,17,2.95,4,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0
2002,TR822,Çankýrý,,141298,,76.6,,,,3,,0,,,,,,,,,,,,1.2,47,28,39,5,22,9,2.94,2,3,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0
2003,TR822,Çankýrý,,,,,,,,,,,,,,,,,,,,,,1.16,53,26,42,8,16,14,1.75,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2004,TR822,Çankýrý,99635,,,,,81.2,,,,,,,,,,31,5,18,1,,,0.98,38,24,36,5,19,15,5.25,6,3,0,1,0,1,0,2,1,0,0,1,0,0,0,0,0,0
2005,TR822,Çankýrý,,,,,,,,,,,,,,,,,,,,,,1.06,45,20,33,9,12,26,1.74,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2006,TR822,Çankýrý,,,,,,,,,,,,,,,,,,,,,,0.97,35,24,40,6,16,18,3.47,4,2,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0
2007,TR822,Çankýrý,,133493,132959,84.2,,,69.8,2,,0,,1,,,,,,,,81.5,18.5,1.03,36,25,37,5,20,17,3.45,5,1,0,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0
2008,TR822,Çankýrý,,,,,,,,,,,,,,,,,,,,,,0.95,36,20,35,7,17,13,3.43,6,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
2009,TR822,Çankýrý,88693,,,,,86.8,,,,,,,,,,31,8,14,0,,,1.06,52,20,38,4,18,17,2.77,4,1,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0
2010,TR822,Çankýrý,,,130511,,,,84,,,,,,,,,,,,,76.5,23.5,1.14,47,29,48,9,17,18,3.85,5,2,0,2,1,0,1,1,0,0,0,1,0,0,0,1,0,0
2011,TR822,Çankýrý,,129013,,87.3,,,,2,,0,,0,,,,,,,,,,1.17,51,29,47,10,17,13,1.12,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2012,TR822,Çankýrý,,,,,,,,,,,,,,,,,,,,,,1.13,48,31,45,8,18,12,2.77,4,1,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0
2013,TR822,Çankýrý,,,,,,,,,,,,,,,,,,,,,,1.09,50,27,36,12,24,22,4.26,7,1,0,0,2,1,1,2,1,0,0,0,0,1,0,0,0,0
2014,TR822,Çankiri,89688,,,,,89.6,,,,,,,,,,15,4,11,0,,,0.97,34,28,37,12,22,20,1.07,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,TR822,Çankiri,,131689,,84.3,85.9,,,2,2,0,0,0,0,0,0,,,,,,,1.16,38,29,48,16,23,27,1.1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,TR822,Çankiri,,,,,,,,,,,,,,,,,,,,,,1.08,39,30,43,5,27,16,3.84,6,1,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,1
2017,TR822,Çankiri,,,130258,,,,85,,,,,,,,,,,,,73.3,26.7,1.24,52,31,49,7,33,18,4.87,7,2,0,1,0,1,2,2,0,1,0,0,0,1,1,0,0,0
2018,TR822,Çankiri,,133958,,88.2,,,,2,,0,,0,,0,,,,,,,,1.48,49,54,61,16,28,25,3.48,5,2,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1
2019,TR822,Çankiri,94874,,,,,86,,,,,,,,,,15,4,11,0,,,1.25,51,45,56,15,26,18,3.4,3,4,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0
2000,TR823,Sinop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
2001,TR823,Sinop,,,,,,,,,,,,,,,,,,,,,,1.64,63,42,69,26,29,30,1.54,1,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
2002,TR823,Sinop,,148000,,78,,,,2,,1,,,,,,,,,,,,1.65,75,43,77,17,34,25,2.56,3,2,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0
2003,TR823,Sinop,,,,,,,,,,,,,,,,,,,,,,1.37,65,30,50,13,34,24,7.14,9,5,0,1,0,0,2,3,2,1,0,1,2,1,0,1,0,0
2004,TR823,Sinop,68988,,,,,75.8,,,,,,,,,,11,1,7,0,,,1.32,51,25,61,20,27,23,3.05,2,4,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,1
2005,TR823,Sinop,,,,,,,,,,,,,,,,,,,,,,1.5,77,24,62,13,32,29,6.6,6,7,0,0,0,1,1,1,1,1,0,1,2,0,0,1,0,0
2006,TR823,Sinop,,,,,,,,,,,,,,,,,,,,,,1.27,58,31,61,13,26,18,7.08,6,8,0,0,1,3,0,0,1,1,1,3,2,0,0,1,0,0
2007,TR823,Sinop,,141349,141974,84.9,,,71.1,2,,1,,0,,,,,,,,68.8,31.2,1.17,50,37,44,18,28,12,5.05,9,1,1,0,1,2,2,0,0,2,0,0,0,0,1,0,0,0
2008,TR823,Sinop,,,,,,,,,,,,,,,,,,,,,,1.4,63,35,61,12,33,17,7.01,9,5,0,1,1,2,2,2,1,0,0,1,2,0,0,1,0,0
2009,TR823,Sinop,74101,,,,,85.2,,,,,,,,,,11,4,4,3,,,1.43,67,31,83,8,30,19,5.47,10,1,0,2,2,2,1,1,1,1,0,0,0,0,1,0,0,0
2010,TR823,Sinop,,,149452,,,,83.2,,,,,,,,,,,,,60.4,39.6,1.44,65,46,60,10,27,18,1.49,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2011,TR823,Sinop,,151004,,86.2,,,,1,,1,,0,,,,,,,,,,1.16,62,32,45,7,27,18,2.96,4,2,0,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0
2012,TR823,Sinop,,,,,,,,,,,,,,,,,,,,,,1.3,64,30,71,6,28,13,3.96,5,3,0,2,1,0,0,1,0,1,1,0,0,1,0,0,1,0
2013,TR823,Sinop,,,,,,,,,,,,,,,,,,,,,,1.38,58,56,61,12,23,26,5.42,8,3,0,3,1,2,0,0,1,1,0,1,1,0,0,0,0,1
2014,TR823,Sinop,80749,,,,,86.8,,,,,,,,,,9,1,4,4,,,1.47,69,48,77,10,26,22,7.82,8,8,0,0,2,1,3,1,1,0,1,1,1,2,1,1,1,0
2015,TR823,Sinop,,154185,,84.5,84.4,,,1,1,1,1,0,0,0,0,,,,,,,1.63,83,42,88,9,21,22,4.4,9,0,0,1,1,2,0,1,0,4,0,0,0,0,0,0,0,0
2016,TR823,Sinop,,,,,,,,,,,,,,,,,,,,,,1.32,75,39,63,6,25,19,6.84,11,3,0,1,4,0,1,2,1,2,1,1,0,0,0,0,0,1
2017,TR823,Sinop,,,155178,,,,83.9,,,,,,,,,,,,,57.7,42.3,1.46,71,45,88,10,28,17,3.39,4,3,0,1,0,2,0,0,1,0,2,0,0,1,0,0,0,0
2018,TR823,Sinop,,159840,,87.7,,,,1,,1,,0,,0,,,,,,,,1.57,78,44,85,15,38,20,7.02,12,3,0,1,3,2,1,3,1,1,0,0,1,0,0,0,1,1
2019,TR823,Sinop,91401,,,,,84.5,,,,,,,,,,9,0,7,2,,,1.85,94,54,125,10,41,22,4.57,8,2,0,0,1,0,2,3,0,2,0,0,0,2,0,0,0,0
