year,province,region,popi,gdpk,educ_hsch,educ_coll,prisons_total,prisons_closed,prisons_open,prisons_semiopen,prisons_juvenile,cr_educ_total,cr_educ_illiterate,cr_educ_litnoschool,cr_educ_primaryfour,cr_educ_primaryeight,cr_educ_juniorhs,cr_educ_hs,cr_educ_uni,cr_educ_unknown,cd_type_total,cr_type_total,cd_type_homicide,cr_type_homicide,cd_type_assault,cr_type_assault,cd_type_sexual,cr_type_sexual,cd_type_kidnapping,cr_type_kidnapping,cd_type_defamation,cr_type_defamation,cd_type_theft,cr_type_theft,cd_type_robbery,cr_type_robbery,cd_type_swindling,cr_type_swindling,cd_type_drugspc,cr_type_drugspc,cd_type_drugsuse,cr_type_drugsuse,cd_type_forgery,cr_type_forgery,cd_type_badtreatment,cr_type_badtreatment,cd_type_embezzlement,cr_type_embezzlement,cd_type_bribery,cr_type_bribery,cd_type_smuggling,cr_type_smuggling,cd_type_traffic,cr_type_traffic,cd_type_forestry,cr_type_forestry,cd_type_arms,cr_type_arms,cd_type_bankruptcy,cr_type_bankruptcy,cd_type_military,cr_type_military,cd_type_cheque,cr_type_cheque,cd_type_threat,cr_type_threat,cd_type_propertydamage,cr_type_propertydamage,cd_type_performanceprevention,cr_type_performanceprevention,cd_type_familyprotection,cr_type_familyprotection,cd_type_other,cr_type_other,cd_type_unknown,cr_type_unknown,loc_mayors,crude_divorce_rate100,divorce_byd_1_10,divorce_byd_11_15,divorce_byd_16,divorce_byd_below1,divorce_byd_1,divorce_byd_2,crude_suicide_rate1000,suicides_male_total,suicides_female_total,suicides_male_below15,suicides_male_15,suicides_male_25,suicides_male_35,suicides_male_45,suicides_male_55,suicides_male_65,suicides_male_75,suicides_female_below15,suicides_female_15,suicides_female_25,suicides_female_35,suicides_female_45,suicides_female_55,suicides_female_65,suicides_female_75,vs_akp,vs_chp,vs_mhp,vs_hdp,ms_akp,ms_chp,ms_mhp
2014,kastamonu,karadeniz,302336,9107,52267,31241,4,4,0,0,0,844,8,24,216,243,127,168,30,28,709,844,27,68,133,134,20,43,10,20,35,28,35,55,9,44,7,8,16,26,6,5,18,21,0,0,5,3,0,1,4,6,26,26,7,6,34,28,160,167,0,0,0,0,49,45,14,13,14,10,19,21,61,66,0,0,20,1.08,93,49,89,20,53,26,4.88,13,5,1,3,0,3,2,2,1,1,0,1,0,0,1,0,0,2,39,28,10,11,.69999999,.050000001,.2
2015,kastamonu,karadeniz,303772,8131,56263,31715,4,4,0,0,0,821,10,27,210,227,122,182,28,15,745,821,37,53,132,138,16,31,26,16,23,25,49,76,12,38,5,7,18,15,9,9,13,16,0,0,2,2,2,1,12,12,14,15,4,5,17,15,196,187,0,0,0,0,54,51,11,13,11,10,23,21,59,65,0,0,,.99,80,63,81,17,45,26,4.32,11,5,0,2,3,2,3,0,1,0,0,0,1,0,2,0,2,0,2,0,1,0,.61538464,.35897437,.025641026
2016,kastamonu,karadeniz,309483,8022,61334,34434,4,4,0,0,0,927,8,19,245,270,133,209,43,0,1021,927,43,34,142,117,24,43,26,12,25,15,99,85,44,41,14,11,19,26,4,3,22,15,0,0,0,2,0,0,13,12,26,25,0,2,24,14,278,278,0,1,0,0,75,64,11,10,18,16,35,36,79,65,0,0,,1.02,90,64,86,15,47,21,4.8,12,6,0,2,1,3,2,0,1,3,0,2,2,0,1,1,0,0,43,27,8,12,.61538464,.35897437,.025641026
2017,kastamonu,karadeniz,306185,7716,60346,34558,4,4,0,0,0,767,4,11,172,263,88,192,33,4,750,767,35,39,151,148,36,37,18,15,27,24,71,87,27,39,6,8,25,26,8,6,10,13,0,0,1,0,0,0,8,8,18,18,5,6,27,26,99,89,6,4,0,0,51,50,10,13,13,13,13,14,85,84,0,0,,1.05,81,70,114,10,42,22,4.8,15,3,1,3,2,4,2,1,2,0,0,1,1,1,0,0,0,0,43,27,8,12,.61538464,.35897437,.025641026
2018,kastamonu,karadeniz,316122,7100,63965,37549,5,4,1,0,0,855,7,19,146,306,118,207,47,5,798,855,34,45,166,172,29,18,17,22,29,32,80,98,27,35,5,7,24,18,6,8,17,20,0,0,0,1,1,3,10,11,35,34,2,3,19,14,46,43,2,2,0,0,68,67,22,27,20,18,21,21,117,136,1,0,,1.3,95,91,122,18,44,37,4.76,10,8,0,0,3,3,0,1,0,3,0,2,1,0,2,1,0,2,2,1,0,0,.61538464,.35897437,.025641026
2019,kastamonu,karadeniz,312956,6825,65640,38049,2,1,1,0,0,986,2,17,161,230,261,255,55,5,1217,986,39,43,251,200,36,28,19,17,52,31,126,99,32,31,18,13,28,22,21,21,25,25,1,2,2,2,1,1,17,14,49,42,13,11,40,25,64,64,4,4,0,0,108,77,22,11,32,20,30,31,187,151,0,1,20,1.2,90,80,135,10,56,26,5.77,18,4,0,3,2,6,3,2,1,1,0,1,0,1,1,0,0,1,,,,,.5,.15000001,.34999999
2000,kayseri,icanadolu,1060432,4995,162168,43285,12,11,1,0,0,1071,28,21,713,0,177,120,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
2001,kayseri,icanadolu,1035154,3538,163022.875,44859.375,12,11,1,0,0,1383,32,19,1013,0,180,125,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,342,209,255,84,187,147,4.87,26,25,2,8,5,3,5,2,1,0,1,6,9,4,3,2,0,0,,,,,,,
2002,kayseri,icanadolu,1009876,3948,163877.75,46433.75,12,11,1,0,0,1132,22,14,943,0,71,69,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,375,198,282,50,157,138,2.53,18,9,0,6,4,3,1,2,1,1,0,1,7,1,0,0,0,0,7,1,7,11,,,
2003,kayseri,icanadolu,984598,5322,164732.625,48008.125,12,11,1,0,0,1257,36,14,915,0,149,125,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,349,197,263,58,142,153,4.43,31,17,1,7,9,1,3,6,1,3,0,9,1,1,1,1,1,3,39,22,7,11,,,
