year,province,region,popi,gdpk,educ_hsch,educ_coll,prisons_total,prisons_closed,prisons_open,prisons_semiopen,prisons_juvenile,cr_educ_total,cr_educ_illiterate,cr_educ_litnoschool,cr_educ_primaryfour,cr_educ_primaryeight,cr_educ_juniorhs,cr_educ_hs,cr_educ_uni,cr_educ_unknown,cd_type_total,cr_type_total,cd_type_homicide,cr_type_homicide,cd_type_assault,cr_type_assault,cd_type_sexual,cr_type_sexual,cd_type_kidnapping,cr_type_kidnapping,cd_type_defamation,cr_type_defamation,cd_type_theft,cr_type_theft,cd_type_robbery,cr_type_robbery,cd_type_swindling,cr_type_swindling,cd_type_drugspc,cr_type_drugspc,cd_type_drugsuse,cr_type_drugsuse,cd_type_forgery,cr_type_forgery,cd_type_badtreatment,cr_type_badtreatment,cd_type_embezzlement,cr_type_embezzlement,cd_type_bribery,cr_type_bribery,cd_type_smuggling,cr_type_smuggling,cd_type_traffic,cr_type_traffic,cd_type_forestry,cr_type_forestry,cd_type_arms,cr_type_arms,cd_type_bankruptcy,cr_type_bankruptcy,cd_type_military,cr_type_military,cd_type_cheque,cr_type_cheque,cd_type_threat,cr_type_threat,cd_type_propertydamage,cr_type_propertydamage,cd_type_performanceprevention,cr_type_performanceprevention,cd_type_familyprotection,cr_type_familyprotection,cd_type_other,cr_type_other,cd_type_unknown,cr_type_unknown,loc_mayors,crude_divorce_rate100,divorce_byd_1_10,divorce_byd_11_15,divorce_byd_16,divorce_byd_below1,divorce_byd_1,divorce_byd_2,crude_suicide_rate1000,suicides_male_total,suicides_female_total,suicides_male_below15,suicides_male_15,suicides_male_25,suicides_male_35,suicides_male_45,suicides_male_55,suicides_male_65,suicides_male_75,suicides_female_below15,suicides_female_15,suicides_female_25,suicides_female_35,suicides_female_45,suicides_female_55,suicides_female_65,suicides_female_75,vs_akp,vs_chp,vs_mhp,vs_hdp,ms_akp,ms_chp,ms_mhp
2005,denizli,ege,760002.125,7023,119852.125,41778.125,10,8,2,0,0,959,19,10,704,0,115,82,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,474,248,403,82,198,167,3.5,22,9,0,2,4,4,6,3,0,2,0,4,0,3,0,2,0,0,39,22,7,11,.66666669,.30769232,0
2006,denizli,ege,741996.75,7740,119495.75,42782.75,9,7,2,0,0,1705,32,18,1178,11,217,188,61,0,1719,1705,57,36,163,146,19,9,3,13,15,38,103,92,17,15,229,238,12,9,1,4,41,33,11,5,1,1,0,2,12,12,18,16,6,6,34,47,824,853,9,12,0,0,0,0,0,0,0,0,0,0,144,118,0,0,,2.01,402,189,379,94,214,156,4.92,33,11,0,9,10,1,5,1,3,3,1,3,2,1,0,2,1,0,39,22,7,11,.66666669,.30769232,0
2007,denizli,ege,723991.375,9067,119139.375,43787.375,8,6,2,0,0,2756,17,31,1895,114,262,329,108,0,2608,2756,39,75,187,197,13,20,2,5,21,40,87,94,29,31,224,233,5,6,6,7,28,21,7,9,1,4,1,0,10,8,76,69,5,7,50,53,1667,1703,8,6,0,0,0,0,0,0,0,0,0,0,142,168,0,0,,1.94,369,220,369,86,197,170,4.76,32,11,0,1,6,9,4,3,3,4,0,2,1,5,0,1,1,1,4,2,1,11,.66666669,.30769232,0
2008,denizli,ege,705986,9923,118783,44792,7,5,2,0,0,1697,7,16,1090,138,160,240,46,0,1470,1697,48,68,136,167,12,21,5,7,23,36,74,102,22,38,180,178,14,30,2,0,22,32,2,5,5,1,4,11,5,5,29,35,7,4,57,67,701,753,6,3,0,0,0,0,0,0,0,0,0,0,116,134,0,0,,2.07,419,238,404,68,203,181,4.82,34,10,0,4,8,8,4,4,1,5,0,4,3,0,1,1,1,0,46,29,7,11,.66666669,.30769232,0
2009,denizli,ege,715297,7829,124068,55832,7,5,2,0,0,2244,22,36,1269,203,216,313,79,106,2102,2244,52,36,140,171,11,7,6,8,40,39,105,121,11,20,189,178,12,5,5,18,27,25,0,0,0,1,6,1,3,4,35,40,2,3,36,39,1238,1329,7,9,0,0,0,0,0,0,0,0,0,0,175,187,2,3,87,2.34,439,313,490,68,240,156,6.72,48,14,2,5,12,8,10,3,7,1,0,1,3,3,2,4,1,0,46,29,7,11,.43678162,.24137931,.13793103
2010,denizli,ege,722159,9453,135110,58239,7,5,2,0,0,2283,17,73,814,499,244,431,106,99,2189,2283,60,33,150,172,15,18,12,16,36,33,102,104,20,26,151,162,20,15,23,24,27,32,3,3,0,0,0,0,4,3,28,24,7,7,43,39,1317,1385,12,11,0,0,0,0,0,0,0,0,0,0,158,175,1,1,,2.38,483,347,500,71,199,173,4.31,32,8,0,4,5,8,10,2,1,2,0,4,2,0,0,0,0,2,46,29,7,11,.64102566,.35897437,0
2011,denizli,ege,734010,10298,142990,69551,7,5,2,0,0,1984,10,75,658,474,196,360,104,107,1806,1984,44,80,136,155,12,20,5,15,29,33,79,94,22,50,24,37,19,10,17,15,26,38,0,0,1,2,0,0,1,1,25,24,4,5,55,50,1011,1042,5,5,126,133,0,0,0,0,0,0,0,0,165,175,0,0,,2.24,451,335,440,70,200,146,6.08,45,12,1,5,14,7,6,6,3,3,1,3,2,2,1,2,0,1,4,2,1,11,.64102566,.35897437,0
2012,denizli,ege,743142,10584,148956,74136,8,5,3,0,0,2349,16,89,758,660,188,390,107,141,2182,2349,63,127,265,285,34,48,26,29,47,50,171,175,45,50,55,56,20,25,23,27,61,82,2,2,2,4,1,3,5,8,22,25,4,2,95,118,966,926,0,0,34,15,0,0,0,0,0,0,0,0,241,292,0,0,,2.37,482,344,501,70,230,170,6.23,45,14,0,4,6,9,13,7,4,2,2,7,0,2,2,0,1,0,39,28,10,11,.64102566,.35897437,0
2013,denizli,ege,755338,11461,150018,81179,7,5,2,0,0,3526,17,194,1137,1041,273,578,141,145,3421,3526,97,132,704,675,71,92,40,72,153,136,339,397,53,128,76,85,33,45,36,29,170,148,1,1,10,9,3,3,24,23,42,39,9,9,207,171,596,609,1,1,0,0,160,162,72,63,50,45,122,121,352,331,0,0,,2.35,531,328,534,100,207,155,6.27,43,17,0,4,14,7,5,6,5,2,0,4,2,0,4,2,3,2,39,28,10,11,.64102566,.35897437,0
2014,denizli,ege,768889,11327,157163,90885,8,6,2,0,0,3563,16,180,966,1105,388,626,136,146,2875,3563,79,188,525,548,60,90,57,81,84,84,329,544,89,191,112,147,41,94,25,24,140,175,1,1,4,8,0,1,27,29,67,64,6,5,91,83,509,480,0,0,0,0,171,197,42,38,52,49,93,91,271,351,0,0,19,2.3,483,296,520,107,232,194,6.8,48,18,1,5,10,9,8,12,3,0,1,9,2,4,2,0,0,0,39,28,10,11,.78947371,.15789473,.052631579
2015,denizli,ege,781936,9890,165381,101640,7,6,1,0,0,3442,21,146,952,1057,390,688,136,52,2788,3442,89,160,425,443,61,137,48,59,72,70,353,522,79,221,121,149,65,117,23,23,112,129,0,0,5,4,1,2,32,39,67,68,11,10,62,56,527,529,0,0,0,0,184,199,31,35,30,26,121,123,269,321,0,0,,2.34,489,325,559,99,255,179,5.07,40,10,0,5,11,11,7,3,1,2,0,4,2,0,4,0,0,0,3,3,1,0,.61538464,.35897437,.025641026
2016,denizli,ege,793136,9988,179293,108828,9,7,2,0,0,3856,16,144,1009,1240,415,853,175,4,4182,3856,129,137,474,388,71,103,123,76,88,85,573,563,262,191,235,207,72,163,27,29,179,148,0,2,0,4,0,0,57,49,62,58,0,3,82,64,871,840,0,7,0,0,248,222,45,37,26,23,75,71,483,386,0,0,,2.25,449,318,542,108,235,185,6.3,51,12,3,9,13,7,6,8,2,3,0,1,2,5,2,0,0,2,43,27,8,12,.61538464,.35897437,.025641026
2017,denizli,ege,804889,9817,183573,113876,9,6,3,0,0,4130,18,139,836,1530,495,907,189,16,3745,4130,115,145,455,446,61,88,71,65,102,91,525,673,112,196,131,147,122,171,69,75,139,147,0,0,2,1,0,0,63,75,102,102,9,9,80,78,742,726,4,4,0,0,168,188,39,38,47,47,77,73,510,545,0,0,,2.17,451,343,568,83,213,156,4.84,41,8,0,6,8,6,9,5,4,3,0,1,3,0,3,0,1,0,43,27,8,12,.61538464,.35897437,.025641026
2018,denizli,ege,812023,8767,194781,120809,7,4,3,0,0,4783,18,118,869,1755,615,1139,251,18,4038,4783,76,146,505,533,73,127,81,102,97,97,515,740,148,273,153,188,94,151,77,88,109,117,1,2,3,3,0,0,72,91,202,208,3,2,67,65,744,744,15,18,0,0,201,227,55,57,58,56,86,92,601,656,2,0,,2.21,416,363,622,72,228,169,5.47,48,8,0,11,7,9,7,9,1,4,0,1,2,0,2,1,2,0,4,3,0,0,.61538464,.35897437,.025641026
2019,denizli,ege,819254,8194,200237,125896,6,3,3,0,0,5056,18,98,829,1078,1453,1199,362,19,5523,5056,119,137,628,548,136,98,99,69,122,109,790,792,188,214,272,222,129,221,175,162,149,109,1,1,4,5,0,1,99,79,290,263,11,10,123,102,651,606,30,25,0,0,400,328,69,47,86,57,118,109,834,742,0,0,19,2.53,500,442,725,62,256,173,8.140000000000001,67,17,0,10,11,15,8,16,5,2,0,3,5,0,6,1,0,2,,,,,.63157892,.2631579,.10526316
2000,diyarbakir,guneydogu,1362708,2095,132450,30313,10,10,0,0,0,1143,133,158,590,0,133,114,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,1,9,5,0,1,0,0,0,1,11,4,0,0,0,0,0,,,,,,,
2001,diyarbakir,guneydogu,1309146.75,1416,132897.5,30285.25,10,10,0,0,0,1306,151,80,721,0,190,142,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.23,76,49,53,14,27,20,3.61,25,23,3,10,4,4,2,1,1,0,3,15,4,1,0,0,0,0,,,,,,,
2002,diyarbakir,guneydogu,1255585.5,1654,133345,30257.5,9,9,0,0,0,1332,162,67,721,0,159,184,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.29,98,52,75,10,30,28,3.71,23,27,0,10,6,3,1,3,0,0,2,20,4,0,0,0,0,1,8,2,7,11,,,
2003,diyarbakir,guneydogu,1202024.25,2264,133792.5,30229.75,10,10,0,0,0,1516,179,82,788,3,194,243,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.34,98,63,106,13,48,37,3.66,20,30,1,11,4,0,1,2,1,0,1,15,7,1,5,1,0,0,39,22,7,11,,,
2004,diyarbakir,guneydogu,1148463,2895,134240,30202,10,10,0,0,0,1658,200,140,831,21,197,243,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,.34,97,55,101,19,45,36,4.18,29,29,1,13,9,3,0,2,0,0,0,16,7,3,0,1,0,0,39,22,7,11,.25806451,.12903225,0
2005,diyarbakir,guneydogu,1094901.75,3392,134687.5,30174.25,10,9,0,0,1,1230,132,94,637,13,152,168,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.36,116,75,115,19,50,32,3.06,26,17,2,11,8,2,1,2,0,0,1,13,2,0,1,0,0,0,39,22,7,11,.66666669,.30769232,0
2006,diyarbakir,guneydogu,1041340.5,3703,135135,30146.5,9,9,0,0,0,1352,120,94,738,28,142,194,36,0,1363,1352,60,33,113,97,9,8,2,4,2,16,91,96,19,17,113,106,64,73,4,19,23,36,7,2,6,2,1,2,37,31,3,2,11,10,111,120,106,86,389,399,0,0,0,0,0,0,0,0,0,0,192,193,0,0,,.31,126,74,92,13,39,32,3.43,31,18,3,13,5,5,1,0,0,1,1,10,2,0,2,1,0,0,39,22,7,11,.66666669,.30769232,0
2007,diyarbakir,guneydogu,987779.25,4461,135582.5,30118.75,9,9,0,0,0,2142,144,97,739,485,183,421,73,0,1931,2142,40,46,89,98,8,14,1,2,7,18,101,98,15,44,107,90,65,115,9,14,26,28,4,4,0,1,1,2,27,36,11,12,9,7,122,122,250,252,814,850,0,0,0,0,0,0,0,0,0,0,225,289,0,0,,.32,97,63,100,15,39,41,4.69,45,23,4,23,7,4,2,2,1,1,4,12,6,0,0,0,0,0,6,0,0,11,.66666669,.30769232,0
2008,diyarbakir,guneydogu,934218,4848,136030,30091,8,8,0,0,0,1506,135,94,585,316,100,231,45,0,1368,1506,45,59,81,92,6,9,2,8,9,13,96,140,21,52,158,128,67,162,8,0,22,23,1,1,0,1,2,2,37,30,5,5,6,7,123,121,44,37,422,323,0,0,0,0,0,0,0,0,0,0,213,293,0,0,,.36,125,70,102,11,55,51,4.27,31,32,2,11,7,3,1,3,0,3,3,23,1,1,2,0,2,0,46,29,7,11,.66666669,.30769232,0
2009,diyarbakir,guneydogu,950407,4140,140923,42180,7,7,0,0,0,1321,75,73,246,477,73,258,34,85,1161,1321,44,38,63,73,2,6,6,12,6,4,77,82,17,34,53,41,92,105,7,9,25,28,0,0,1,5,1,0,12,20,3,3,3,3,68,58,6,6,527,638,0,0,0,0,0,0,0,0,0,0,146,154,2,2,29,.42,139,110,137,14,54,47,3.72,40,16,3,19,7,5,3,1,2,0,2,10,3,1,0,0,0,0,46,29,7,11,.1724138,.034482758,0
2010,diyarbakir,guneydogu,963369,5037,152584,45120,7,7,0,0,0,1615,28,148,210,558,58,426,66,121,1577,1615,50,47,79,72,8,4,11,7,5,6,76,91,23,37,73,74,154,165,10,7,7,23,1,2,5,2,2,0,18,21,2,4,2,2,85,80,20,32,787,762,0,0,0,0,0,0,0,0,0,0,157,174,2,3,,.45,157,97,120,11,74,70,5.45,47,36,1,11,17,8,5,3,0,2,2,17,7,4,2,1,2,1,46,29,7,11,.64102566,.35897437,0
2011,diyarbakir,guneydogu,1002976,5349,169274,62064,7,7,0,0,0,1131,31,165,207,366,50,191,33,88,880,1131,34,78,46,87,6,4,4,5,2,4,68,95,36,63,4,4,191,166,9,10,16,22,3,4,2,3,0,0,17,25,0,0,0,1,66,75,35,51,154,201,36,36,0,0,0,0,0,0,0,0,151,197,0,0,,.41,141,104,100,24,64,58,4.06,39,24,3,19,9,2,2,2,1,0,3,15,4,1,0,0,0,0,6,0,0,11,.64102566,.35897437,0
2012,diyarbakir,guneydogu,1022918,5585,169148,70160,7,6,1,0,0,1919,39,266,339,658,91,374,46,106,1789,1919,71,137,148,160,7,11,6,10,6,6,169,197,95,84,12,16,440,359,10,12,34,47,2,1,3,5,0,0,27,40,1,1,2,1,128,156,72,73,205,219,20,9,0,0,0,0,0,0,0,0,331,375,0,0,,.49,192,109,153,23,71,55,4.68,43,31,3,21,6,6,3,3,1,0,1,19,6,3,1,0,1,0,39,28,10,11,.64102566,.35897437,0
2013,diyarbakir,guneydogu,1038217,6035,168308,85132,8,7,1,0,0,2917,73,466,581,971,170,458,77,121,2511,2917,94,146,323,325,14,30,13,20,25,25,302,357,97,124,19,20,417,691,36,29,82,89,0,0,8,3,2,8,98,97,1,2,12,6,387,359,42,43,58,29,0,0,45,48,23,23,41,51,16,16,356,376,0,0,,.48,208,95,145,24,82,70,5.06,50,31,2,27,7,6,7,0,0,0,3,20,5,1,0,1,1,0,39,28,10,11,.64102566,.35897437,0
2014,diyarbakir,guneydogu,1064084,5853,173474,98344,8,7,1,0,0,2863,67,410,500,946,298,469,86,87,2159,2863,104,184,226,237,15,43,26,41,12,15,313,466,81,166,22,29,435,707,24,21,78,73,0,0,5,4,3,0,88,93,5,5,2,0,146,120,25,20,14,9,0,0,39,41,24,24,38,32,21,20,413,513,0,0,17,.49,187,108,146,28,88,78,4.07,43,23,2,16,5,5,8,5,1,1,8,9,2,0,2,0,1,0,39,28,10,11,.11764706,0,0
2015,diyarbakir,guneydogu,1084089,5274,177675,114244,3,2,1,0,0,2641,57,375,490,854,245,518,75,27,2105,2641,90,151,223,242,23,39,24,23,9,10,330,454,81,245,20,21,525,641,25,27,65,66,1,1,0,2,1,1,68,72,7,7,2,1,102,87,33,31,18,18,0,0,48,53,14,13,36,31,28,29,332,376,0,0,,.46,172,110,136,31,82,75,4.99,46,36,7,17,8,2,7,4,1,0,3,20,6,3,1,0,2,1,1,0,0,10,.61538464,.35897437,.025641026
2016,diyarbakir,guneydogu,1103358,5230,191806,124481,3,2,1,0,0,3308,69,492,639,1046,310,652,100,0,3129,3308,130,171,341,291,23,61,67,63,16,17,553,520,267,282,32,30,596,673,45,44,117,113,0,1,0,5,0,3,123,112,10,10,0,1,165,134,54,57,0,23,0,0,75,72,23,22,32,34,35,35,425,534,0,0,,.43,167,104,123,29,75,77,4.03,42,25,1,19,9,4,3,2,3,1,5,12,5,2,1,0,0,0,43,27,8,12,.61538464,.35897437,.025641026
2017,diyarbakir,guneydogu,1124887,4896,196434,130090,8,5,2,0,1,3858,63,452,637,1445,389,700,165,7,3157,3858,98,212,316,299,25,47,42,39,14,12,526,611,204,268,30,32,621,804,60,65,129,143,0,0,3,3,1,0,140,147,44,50,0,0,169,163,34,37,34,33,0,0,63,64,26,25,25,22,39,40,514,742,0,0,,.5,215,96,180,15,81,71,4.21,46,25,1,10,12,8,10,4,0,1,2,16,3,1,1,2,0,0,43,27,8,12,.61538464,.35897437,.025641026
2018,diyarbakir,guneydogu,1152283,4288,214626,140680,6,5,1,0,0,4784,61,440,691,1826,632,918,211,5,3611,4784,117,182,371,405,34,54,45,44,28,29,512,730,203,362,41,45,583,929,96,108,110,129,1,1,2,2,0,1,160,294,80,73,4,4,169,177,33,28,76,77,0,0,83,85,20,20,29,29,85,88,720,883,9,5,,.59,254,158,196,17,91,89,3.38,42,16,1,10,13,7,7,3,0,1,2,13,1,0,0,0,0,0,3,0,0,9,.61538464,.35897437,.025641026
2019,diyarbakir,guneydogu,1174221,4164,250069,150163,7,5,1,0,1,4713,61,374,577,837,1548,1050,253,13,4729,4713,112,216,520,482,34,49,41,35,33,31,704,683,229,305,34,34,673,958,165,171,133,131,1,0,4,1,2,3,312,239,85,79,4,4,202,176,33,35,64,50,0,0,136,105,25,26,32,30,47,44,1099,825,5,1,17,.72,278,246,272,23,110,79,5.27,55,37,5,20,16,6,5,1,2,0,3,21,8,3,1,1,0,0,,,,,.17647059,0,0
2000,duzce,karadeniz,314266,3618,34553,982,2,2,0,0,0,365,7,3,330,0,11,12,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,
2001,duzce,karadeniz,305929.125,2600,35536.75,2350.25,2,2,0,0,0,393,4,16,345,0,15,11,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,84,39,74,18,32,23,.33,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2002,duzce,karadeniz,297592.25,3036,36520.5,3718.5,2,2,0,0,0,526,13,19,419,0,37,31,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,98,69,73,16,49,35,3.64,7,4,0,2,1,3,1,0,0,0,0,2,1,0,0,0,0,1,3,0,7,11,,,
2003,duzce,karadeniz,289255.375,4078,37504.25,5086.75,2,2,0,0,0,659,4,25,558,0,41,27,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,86,69,95,21,37,45,1.63,1,4,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,39,22,7,11,,,
2004,duzce,karadeniz,280918.5,4951,38488,6455,2,2,0,0,0,601,6,7,471,0,57,55,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1.19,78,55,92,17,31,28,4.84,8,7,0,0,4,2,0,0,1,0,0,3,2,1,0,0,1,0,39,22,7,11,.90909094,0,0
2005,duzce,karadeniz,272581.625,5986,39471.75,7823.25,2,2,0,0,0,217,4,1,166,0,27,18,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,79,39,92,16,31,30,1.91,3,3,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,39,22,7,11,.66666669,.30769232,0
2006,duzce,karadeniz,264244.75,6786,40455.5,9191.5,2,2,0,0,0,362,10,5,266,2,36,38,5,0,352,362,7,14,24,17,1,3,2,1,1,7,17,8,2,2,31,25,5,13,0,0,5,2,1,2,0,0,0,0,1,1,0,0,25,25,17,13,182,189,0,1,0,0,0,0,0,0,0,0,0,0,31,39,0,0,,1.35,111,63,87,21,39,35,4.09,10,3,0,1,1,2,1,1,2,0,0,1,0,2,0,0,0,0,39,22,7,11,.66666669,.30769232,0
2007,duzce,karadeniz,255907.875,8316,41439.25,10559.75,2,2,0,0,0,735,9,5,493,25,77,112,14,0,670,735,8,19,25,32,3,6,1,1,6,9,17,21,5,10,32,37,10,4,0,4,5,4,4,2,1,0,0,0,3,1,10,10,21,20,16,17,468,490,0,4,0,0,0,0,0,0,0,0,0,0,35,44,0,0,,.98,73,43,80,17,31,19,3.11,6,4,0,3,2,1,0,0,0,0,1,0,2,0,0,1,0,0,3,0,0,11,.66666669,.30769232,0
2008,duzce,karadeniz,247571,9569,42423,11928,2,2,0,0,0,386,5,5,241,30,38,63,4,0,391,386,7,12,49,46,5,3,0,1,7,9,17,22,4,5,37,34,2,10,3,0,4,5,1,4,0,1,0,2,2,1,3,2,14,10,17,14,173,164,2,1,0,0,0,0,0,0,0,0,0,0,44,40,0,0,,1.34,93,77,93,14,34,40,2.76,7,2,0,2,1,1,1,0,0,2,0,0,0,0,0,1,1,0,46,29,7,11,.66666669,.30769232,0
2009,duzce,karadeniz,253764,7559,46693,15376,2,2,0,0,0,409,6,7,244,33,40,53,7,19,350,409,9,8,69,78,5,2,0,3,5,16,21,25,4,9,47,52,4,1,1,4,6,7,0,1,0,0,1,1,1,0,9,9,6,6,9,11,118,130,0,0,0,0,0,0,0,0,0,0,0,0,35,46,0,0,11,1.27,89,63,95,14,37,39,3.62,7,5,0,0,2,1,0,4,0,0,0,0,2,0,0,0,0,3,46,29,7,11,.45454547,.18181819,.27272728
2010,duzce,karadeniz,257073,8951,50697,16689,2,2,0,0,0,475,2,23,156,145,42,66,14,27,463,475,10,22,47,46,2,3,2,1,11,11,26,33,4,1,30,29,3,5,7,8,1,4,2,1,0,0,0,0,2,1,3,2,8,8,11,10,257,251,0,0,0,0,0,0,0,0,0,0,0,0,37,39,0,0,,1.58,131,78,118,11,48,37,2.97,6,4,0,1,2,2,1,0,0,0,1,1,0,1,1,0,0,0,46,29,7,11,.64102566,.35897437,0
2011,duzce,karadeniz,261644,9501,54743,20231,2,2,0,0,0,465,3,9,147,138,39,90,14,25,378,465,10,34,41,54,3,4,2,3,10,10,21,32,2,4,2,8,2,3,5,13,8,13,0,1,0,1,0,0,0,1,3,3,4,3,14,20,196,202,0,0,12,9,0,0,0,0,0,0,0,0,43,47,0,0,,1.57,113,96,105,19,35,43,2.35,5,3,0,3,1,0,0,1,0,0,0,1,0,2,0,0,0,0,3,0,0,11,.64102566,.35897437,0
2012,duzce,karadeniz,266558,10292,55583,22594,2,1,1,0,0,592,6,17,164,172,48,125,14,46,488,592,9,49,72,99,2,9,3,11,3,4,46,35,7,9,7,5,4,7,8,1,14,19,1,0,3,1,0,1,3,9,3,4,14,17,27,31,205,201,3,3,2,2,0,0,0,0,0,0,0,0,52,75,0,0,,1.51,132,87,106,11,46,42,2.32,6,2,0,1,0,1,2,1,0,0,0,1,0,1,0,0,0,0,39,28,10,11,.64102566,.35897437,0
2013,duzce,karadeniz,271394,10946,57315,25816,1,0,1,0,0,948,8,44,263,301,75,174,36,47,845,948,46,57,210,202,18,38,17,32,25,24,67,104,4,16,7,8,21,38,3,2,36,37,2,3,3,3,3,6,26,20,6,5,24,22,63,56,90,92,0,0,0,0,40,37,30,29,12,16,29,29,63,72,0,0,,1.93,153,117,149,10,53,50,2.87,8,2,0,0,1,0,1,2,2,2,0,0,0,1,0,0,0,1,39,28,10,11,.64102566,.35897437,0
2014,duzce,karadeniz,275623,10989,60015,28862,1,1,0,0,0,945,6,34,218,358,98,168,20,43,778,945,39,47,191,181,28,46,32,57,36,32,100,161,5,27,6,10,17,52,2,1,34,34,1,0,1,3,0,1,6,8,9,10,7,6,24,29,61,59,0,0,0,0,65,64,32,30,9,8,28,28,45,51,0,0,10,2.06,175,109,147,28,91,50,3.39,8,4,0,1,1,2,1,2,0,1,0,2,1,1,0,0,0,0,39,28,10,11,1,0,0
2015,duzce,karadeniz,280714,10379,63011,32740,1,1,0,0,0,981,5,36,195,354,107,222,34,28,772,981,29,60,175,182,17,44,44,41,13,15,115,162,5,41,6,8,25,71,5,7,25,24,0,0,2,1,2,3,6,8,26,26,8,9,31,30,72,68,0,0,0,0,46,54,12,11,9,9,28,29,71,78,0,0,,2.18,166,130,172,29,81,69,3.35,10,2,0,2,0,3,2,1,1,1,0,0,0,0,2,0,0,0,3,0,0,0,.61538464,.35897437,.025641026
2016,duzce,karadeniz,289091,9843,69521,35827,1,1,0,0,0,1014,8,36,212,356,119,242,40,1,1105,1014,47,43,192,158,22,39,61,25,24,27,161,155,25,35,14,14,52,75,22,18,54,49,0,0,0,0,0,1,20,15,24,23,0,14,38,29,87,88,0,2,0,0,74,59,22,16,9,7,23,22,134,100,0,0,,1.43,126,71,122,7,62,44,3.56,12,1,0,1,4,3,0,2,2,0,0,0,0,0,0,1,0,0,43,27,8,12,.61538464,.35897437,.025641026
2017,duzce,karadeniz,295282,9290,71632,38116,1,1,0,0,0,1272,4,36,221,522,145,294,45,5,1164,1272,41,55,197,201,26,40,24,20,34,29,158,189,31,48,24,25,60,83,60,66,48,53,0,0,1,1,0,0,19,20,43,42,13,12,33,27,100,97,4,3,0,0,65,69,15,11,17,17,29,30,122,134,0,0,,1.78,128,94,169,21,90,54,3.48,12,1,0,3,2,3,3,0,1,0,0,1,0,0,0,0,0,0,43,27,8,12,.61538464,.35897437,.025641026
2018,duzce,karadeniz,302399,7952,76768,41198,2,1,1,0,0,1249,3,29,200,506,172,279,58,2,1091,1249,33,46,144,139,21,29,23,20,29,30,182,231,29,66,14,15,58,78,60,79,26,20,1,1,1,1,1,0,21,22,46,47,8,8,29,27,111,116,2,3,0,0,81,78,14,14,21,18,32,32,104,129,0,0,,1.73,128,97,168,13,90,58,3.92,12,3,0,0,2,1,2,4,2,1,0,0,1,1,0,0,1,0,2,0,1,0,.61538464,.35897437,.025641026
2019,duzce,karadeniz,306298,7704,79532,43570,1,1,0,0,0,1539,5,22,209,345,470,348,131,9,1534,1539,27,57,203,179,29,37,22,37,45,28,242,233,47,53,15,19,63,104,87,60,26,25,0,0,2,3,0,0,37,45,99,95,7,7,31,24,117,113,3,5,0,0,119,110,22,20,26,21,31,29,234,234,0,1,10,1.93,143,111,209,10,79,45,4.87,14,5,1,3,1,2,1,3,1,2,0,0,2,2,0,0,1,0,,,,,.5,0,.5
2000,edirne,marmara,402606,3251,72055,18976,7,6,1,0,0,1436,41,23,1070,0,147,124,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,0,2,4,0,1,2,1,3,0,2,0,0,1,0,0,0,,,,,,,
